a;a;a;
10000; 1; 0.029145;
10000; 1; 0.028672;
10000; 1; 0.028987;
10000; 1; 0.028456;
10000; 1; 0.028400;
10000; 1; 0.028690;
10000; 1; 0.028203;
10000; 100; 0.030532;
10000; 200; 0.031074;
10000; 300; 0.032158;
10000; 400; 0.033306;
10000; 500; 0.033579;
10000; 600; 0.033691;
10000; 700; 0.034393;
10000; 800; 0.035050;
10000; 900; 0.035008;
10000; 1000; 0.035352;
10000; 1100; 0.034828;
10000; 1200; 0.035203;
10000; 1300; 0.037186;
10000; 1400; 0.037032;
10000; 1500; 0.038356;
10000; 1600; 0.039068;
10000; 1700; 0.038185;
10000; 1800; 0.039775;
10000; 1900; 0.041154;
10000; 2000; 0.040532;
10000; 2100; 0.043436;
10000; 2200; 0.043760;
10000; 2300; 0.042153;
10000; 2400; 0.046230;
10000; 2500; 0.041180;
10000; 2600; 0.044368;
10000; 2700; 0.046303;
10000; 2800; 0.045426;
10000; 2900; 0.047209;
10000; 3000; 0.045596;
