a;a;a;
10000; 1; 0.005571;
10000; 1; 0.005617;
10000; 1; 0.005306;
10000; 1; 0.006056;
10000; 1; 0.005384;
10000; 1; 0.005494;
10000; 100; 0.007492;
10000; 200; 0.008840;
10000; 300; 0.009395;
10000; 400; 0.009483;
10000; 500; 0.009913;
10000; 600; 0.009845;
10000; 700; 0.010176;
10000; 800; 0.010701;
10000; 900; 0.011354;
10000; 1000; 0.011446;
10000; 1100; 0.010796;
10000; 1200; 0.011871;
10000; 1300; 0.012431;
10000; 1400; 0.012591;
10000; 1500; 0.013062;
10000; 1600; 0.013762;
10000; 1700; 0.013921;
10000; 1800; 0.014404;
10000; 1900; 0.014876;
10000; 2000; 0.015651;
10000; 2100; 0.015612;
10000; 2200; 0.016176;
10000; 2300; 0.016122;
10000; 2400; 0.016323;
10000; 2500; 0.016315;
10000; 2600; 0.016589;
10000; 2700; 0.017596;
10000; 2800; 0.017977;
10000; 2900; 0.017748;
10000; 3000; 0.017960;
