threads; size; time;
0; 0; 0;
threads; size; time;
0; 0; 0;
threads; size; time;
0; 0; 0;
1; 1000; 0.000028;
2; 1000; 0.000064;
3; 1000; 0.000087;
4; 1000; 0.000126;
1; 4000; 0.000045;
2; 4000; 0.000078;
3; 4000; 0.000094;
4; 4000; 0.000116;
1; 7000; 0.000067;
2; 7000; 0.000085;
3; 7000; 0.000105;
4; 7000; 0.000126;
1; 10000; 0.000089;
2; 10000; 0.000097;
3; 10000; 0.000107;
4; 10000; 0.000134;
1; 40000; 0.000329;
2; 40000; 0.000215;
3; 40000; 0.000182;
4; 40000; 0.000196;
1; 70000; 0.000535;
2; 70000; 0.000345;
3; 70000; 0.000257;
4; 70000; 0.000244;
1; 100000; 0.000810;
2; 100000; 0.000450;
3; 100000; 0.000365;
4; 100000; 0.000296;
1; 200000; 0.001538;
2; 200000; 0.000830;
3; 200000; 0.000598;
4; 200000; 0.000483;
1; 300000; 0.002423;
2; 300000; 0.001222;
3; 300000; 0.000854;
4; 300000; 0.000692;
1; 400000; 0.003029;
2; 400000; 0.001604;
3; 400000; 0.001121;
4; 400000; 0.000875;
1; 500000; 0.003828;
2; 500000; 0.001963;
3; 500000; 0.001369;
4; 500000; 0.001070;
1; 600000; 0.004533;
2; 600000; 0.002365;
3; 600000; 0.001609;
4; 600000; 0.001933;
1; 700000; 0.005531;
2; 700000; 0.002359;
3; 700000; 0.001876;
4; 700000; 0.001530;
1; 800000; 0.006058;
2; 800000; 0.003111;
3; 800000; 0.002102;
4; 800000; 0.001717;
1; 900000; 0.006128;
2; 900000; 0.003615;
3; 900000; 0.002459;
4; 900000; 0.001878;
1; 1000000; 0.006859;
2; 1000000; 0.003778;
3; 1000000; 0.002679;
4; 1000000; 0.002034;
1; 2000000; 0.013106;
2; 2000000; 0.007255;
3; 2000000; 0.004663;
4; 2000000; 0.003574;
1; 3000000; 0.019238;
2; 3000000; 0.010388;
3; 3000000; 0.006974;
4; 3000000; 0.005396;
1; 4000000; 0.025569;
2; 4000000; 0.013619;
3; 4000000; 0.009267;
4; 4000000; 0.007466;
1; 5000000; 0.032323;
2; 5000000; 0.016841;
3; 5000000; 0.011641;
4; 5000000; 0.008487;
1; 6000000; 0.038819;
2; 6000000; 0.020064;
3; 6000000; 0.013821;
4; 6000000; 0.010433;
1; 7000000; 0.045665;
2; 7000000; 0.023433;
3; 7000000; 0.015620;
4; 7000000; 0.012401;
1; 8000000; 0.052044;
2; 8000000; 0.026365;
3; 8000000; 0.018668;
4; 8000000; 0.014304;
1; 9000000; 0.059411;
2; 9000000; 0.029916;
3; 9000000; 0.019972;
4; 9000000; 0.015881;
1; 10000000; 0.065906;
2; 10000000; 0.032802;
3; 10000000; 0.022683;
4; 10000000; 0.017365;
1; 20000000; 0.131251;
2; 20000000; 0.065969;
3; 20000000; 0.044690;
4; 20000000; 0.034035;
1; 30000000; 0.196632;
2; 30000000; 0.098607;
3; 30000000; 0.067533;
4; 30000000; 0.053139;
1; 40000000; 0.261660;
2; 40000000; 0.131307;
3; 40000000; 0.088643;
4; 40000000; 0.069138;
1; 50000000; 0.327117;
2; 50000000; 0.164078;
3; 50000000; 0.110585;
4; 50000000; 0.083472;
1; 60000000; 0.407873;
2; 60000000; 0.223598;
3; 60000000; 0.154824;
4; 60000000; 0.114372;
1; 70000000; 0.521181;
2; 70000000; 0.261506;
3; 70000000; 0.175681;
4; 70000000; 0.134471;
1; 80000000; 0.595473;
2; 80000000; 0.302591;
3; 80000000; 0.200568;
4; 80000000; 0.153885;
1; 90000000; 0.670382;
2; 90000000; 0.335398;
3; 90000000; 0.226918;
4; 90000000; 0.173618;
1; 100000000; 0.743913;
2; 100000000; 0.373077;
3; 100000000; 0.252037;
4; 100000000; 0.187998;
1; 200000000; 1.488616;
2; 200000000; 0.746002;
3; 200000000; 0.499906;
4; 200000000; 0.388331;
1; 243138329; 1.813438;
2; 243138329; 0.907970;
3; 243138329; 0.613972;
4; 243138329; 0.424764;
