threads; size; time;
0; 0; 0;
threads; size; time;
0; 0; 0;
threads; size; time;
0; 0; 0;
1; 1000; 0.000029;
2; 1000; 0.000076;
3; 1000; 0.000098;
4; 1000; 0.005859;
1; 4000; 0.000051;
2; 4000; 0.000086;
3; 4000; 0.000107;
4; 4000; 0.007758;
1; 7000; 0.000076;
2; 7000; 0.000098;
3; 7000; 0.000122;
4; 7000; 0.005886;
1; 10000; 0.000100;
2; 10000; 0.000111;
3; 10000; 0.000127;
4; 10000; 0.005885;
1; 40000; 0.000363;
2; 40000; 0.000242;
3; 40000; 0.000209;
4; 40000; 0.006005;
1; 70000; 0.000633;
2; 70000; 0.000365;
3; 70000; 0.000310;
4; 70000; 0.006149;
1; 100000; 0.000949;
2; 100000; 0.000520;
3; 100000; 0.000403;
4; 100000; 0.008202;
1; 200000; 0.001784;
2; 200000; 0.000954;
3; 200000; 0.000677;
4; 200000; 0.006718;
1; 300000; 0.002706;
2; 300000; 0.001391;
3; 300000; 0.000981;
4; 300000; 0.007152;
1; 400000; 0.003513;
2; 400000; 0.001836;
3; 400000; 0.001273;
4; 400000; 0.007641;
1; 500000; 0.004426;
2; 500000; 0.002265;
3; 500000; 0.001570;
4; 500000; 0.008074;
1; 600000; 0.005313;
2; 600000; 0.002715;
3; 600000; 0.001870;
4; 600000; 0.010396;
1; 700000; 0.006298;
2; 700000; 0.003002;
3; 700000; 0.002086;
4; 700000; 0.008371;
1; 800000; 0.006267;
2; 800000; 0.003434;
3; 800000; 0.002365;
4; 800000; 0.011320;
1; 900000; 0.008144;
2; 900000; 0.003858;
3; 900000; 0.002762;
4; 900000; 0.011722;
1; 1000000; 0.007906;
2; 1000000; 0.004595;
3; 1000000; 0.003027;
4; 1000000; 0.009527;
1; 2000000; 0.016208;
2; 2000000; 0.008046;
3; 2000000; 0.005285;
4; 2000000; 0.012754;
1; 3000000; 0.022308;
2; 3000000; 0.012013;
3; 3000000; 0.008295;
4; 3000000; 0.016429;
1; 4000000; 0.030515;
2; 4000000; 0.015482;
3; 4000000; 0.010342;
4; 4000000; 0.020796;
1; 5000000; 0.037036;
2; 5000000; 0.018856;
3; 5000000; 0.013541;
4; 5000000; 0.022346;
1; 6000000; 0.045483;
2; 6000000; 0.023133;
3; 6000000; 0.015869;
4; 6000000; 0.024200;
1; 7000000; 0.052049;
2; 7000000; 0.026830;
3; 7000000; 0.018872;
4; 7000000; 0.027890;
1; 8000000; 0.060435;
2; 8000000; 0.030397;
3; 8000000; 0.020786;
4; 8000000; 0.030042;
1; 9000000; 0.067786;
2; 9000000; 0.034049;
3; 9000000; 0.023194;
4; 9000000; 0.031256;
1; 10000000; 0.074973;
2; 10000000; 0.037659;
3; 10000000; 0.025377;
4; 10000000; 0.033259;
1; 20000000; 0.149664;
2; 20000000; 0.075163;
3; 20000000; 0.050856;
4; 20000000; 0.061776;
1; 30000000; 0.224307;
2; 30000000; 0.113004;
3; 30000000; 0.077571;
4; 30000000; 0.093089;
1; 40000000; 0.297917;
2; 40000000; 0.149656;
3; 40000000; 0.100092;
4; 40000000; 0.121763;
1; 50000000; 0.377717;
2; 50000000; 0.190518;
3; 50000000; 0.125372;
4; 50000000; 0.145887;
1; 60000000; 0.447322;
2; 60000000; 0.224610;
3; 60000000; 0.150698;
4; 60000000; 0.173964;
1; 70000000; 0.522474;
2; 70000000; 0.265570;
3; 70000000; 0.175149;
4; 70000000; 0.205989;
1; 80000000; 0.597162;
2; 80000000; 0.299842;
3; 80000000; 0.202518;
4; 80000000; 0.151478;
1; 90000000; 0.670108;
2; 90000000; 0.335967;
3; 90000000; 0.227661;
4; 90000000; 0.173512;
1; 100000000; 0.745788;
2; 100000000; 0.372714;
3; 100000000; 0.250694;
4; 100000000; 0.190823;
1; 200000000; 1.488839;
2; 200000000; 0.744699;
3; 200000000; 0.507855;
4; 200000000; 0.376933;
1; 243138329; 1.810651;
2; 243138329; 0.915066;
3; 243138329; 0.611805;
4; 243138329; 0.448827;
