threads; size; time;
0; 0; 0;
1; 1000; 0.000026;
2; 1000; 0.000063;
3; 1000; 0.000083;
4; 1000; 0.005083;
1; 2000; 0.000029;
2; 2000; 0.000065;
3; 2000; 0.000217;
4; 2000; 0.005233;
1; 3000; 0.000036;
2; 3000; 0.000074;
3; 3000; 0.000092;
4; 3000; 0.005124;
1; 4000; 0.000053;
2; 4000; 0.000077;
3; 4000; 0.000101;
4; 4000; 0.005103;
1; 5000; 0.000053;
2; 5000; 0.000079;
3; 5000; 0.000097;
4; 5000; 0.005165;
1; 6000; 0.000059;
2; 6000; 0.000083;
3; 6000; 0.000102;
4; 6000; 0.005165;
1; 7000; 0.000066;
2; 7000; 0.000090;
3; 7000; 0.000103;
4; 7000; 0.005175;
1; 8000; 0.000081;
2; 8000; 0.000090;
3; 8000; 0.000101;
4; 8000; 0.005184;
1; 9000; 0.000083;
2; 9000; 0.000136;
3; 9000; 0.000107;
4; 9000; 0.006817;
1; 10000; 0.000087;
2; 10000; 0.000097;
3; 10000; 0.000114;
4; 10000; 0.005126;
1; 20000; 0.000164;
2; 20000; 0.000136;
3; 20000; 0.000138;
4; 20000; 0.005359;
1; 30000; 0.000251;
2; 30000; 0.000172;
3; 30000; 0.000163;
4; 30000; 0.006880;
1; 40000; 0.000326;
2; 40000; 0.000218;
3; 40000; 0.000205;
4; 40000; 0.006913;
1; 50000; 0.000385;
2; 50000; 0.000246;
3; 50000; 0.000209;
4; 50000; 0.006944;
1; 60000; 0.000471;
2; 60000; 0.000304;
3; 60000; 0.000237;
4; 60000; 0.005333;
1; 70000; 0.000549;
2; 70000; 0.000339;
3; 70000; 0.000265;
4; 70000; 0.007044;
1; 80000; 0.000611;
2; 80000; 0.000379;
3; 80000; 0.000284;
4; 80000; 0.005408;
1; 90000; 0.000700;
2; 90000; 0.000414;
3; 90000; 0.000326;
4; 90000; 0.005462;
1; 100000; 0.000773;
2; 100000; 0.000431;
3; 100000; 0.000394;
4; 100000; 0.005494;
1; 200000; 0.001528;
2; 200000; 0.000808;
3; 200000; 0.000591;
4; 200000; 0.005872;
1; 300000; 0.002322;
2; 300000; 0.001205;
3; 300000; 0.000842;
4; 300000; 0.006270;
1; 400000; 0.003011;
2; 400000; 0.001564;
3; 400000; 0.001165;
4; 400000; 0.008306;
1; 500000; 0.003792;
2; 500000; 0.001969;
3; 500000; 0.001368;
4; 500000; 0.006955;
1; 600000; 0.003950;
2; 600000; 0.002383;
3; 600000; 0.001643;
4; 600000; 0.009025;
1; 700000; 0.005389;
2; 700000; 0.002733;
3; 700000; 0.001909;
4; 700000; 0.007770;
1; 800000; 0.005465;
2; 800000; 0.003091;
3; 800000; 0.002182;
4; 800000; 0.008147;
1; 900000; 0.006125;
2; 900000; 0.003273;
3; 900000; 0.002397;
4; 900000; 0.009653;
1; 1000000; 0.006981;
2; 1000000; 0.003948;
3; 1000000; 0.002653;
4; 1000000; 0.008241;
1; 2000000; 0.013376;
2; 2000000; 0.006964;
3; 2000000; 0.005133;
4; 2000000; 0.013484;
1; 3000000; 0.019586;
2; 3000000; 0.010239;
3; 3000000; 0.006901;
4; 3000000; 0.015193;
1; 4000000; 0.026050;
2; 4000000; 0.013054;
3; 4000000; 0.010120;
4; 4000000; 0.017854;
1; 5000000; 0.033282;
2; 5000000; 0.017064;
3; 5000000; 0.011446;
4; 5000000; 0.020734;
1; 6000000; 0.039046;
2; 6000000; 0.019940;
3; 6000000; 0.013299;
4; 6000000; 0.022207;
1; 7000000; 0.045924;
2; 7000000; 0.023012;
3; 7000000; 0.015832;
4; 7000000; 0.024450;
1; 8000000; 0.051814;
2; 8000000; 0.026480;
3; 8000000; 0.017963;
4; 8000000; 0.026518;
1; 9000000; 0.057797;
2; 9000000; 0.029827;
3; 9000000; 0.020008;
4; 9000000; 0.017410;
1; 10000000; 0.064413;
2; 10000000; 0.032627;
3; 10000000; 0.021898;
4; 10000000; 0.016844;
1; 20000000; 0.127619;
2; 20000000; 0.064856;
3; 20000000; 0.043265;
4; 20000000; 0.032723;
1; 30000000; 0.209779;
2; 30000000; 0.110772;
3; 30000000; 0.073783;
4; 30000000; 0.055563;
1; 40000000; 0.291896;
2; 40000000; 0.146324;
3; 40000000; 0.099941;
4; 40000000; 0.074714;
1; 50000000; 0.362661;
2; 50000000; 0.181164;
3; 50000000; 0.122884;
4; 50000000; 0.092125;
1; 60000000; 0.434786;
2; 60000000; 0.219654;
3; 60000000; 0.147861;
4; 60000000; 0.110960;
1; 70000000; 0.507093;
2; 70000000; 0.253982;
3; 70000000; 0.173134;
4; 70000000; 0.128478;
1; 80000000; 0.579958;
2; 80000000; 0.290246;
3; 80000000; 0.195437;
4; 80000000; 0.148772;
1; 90000000; 0.651971;
2; 90000000; 0.328106;
3; 90000000; 0.225501;
4; 90000000; 0.158376;
1; 100000000; 0.673749;
2; 100000000; 0.363016;
3; 100000000; 0.242487;
4; 100000000; 0.182336;
1; 200000000; 1.454348;
2; 200000000; 0.725725;
3; 200000000; 0.483904;
4; 200000000; 0.363455;
1; 243138329; 1.762206;
2; 243138329; 0.883850;
3; 243138329; 0.593878;
4; 243138329; 0.407417;
