threads; size; time;
0; 0; 0;
1; 1000; 0.000051;
2; 1000; 0.000096;
3; 1000; 0.000123;
4; 1000; 0.000142;
1; 2000; 0.000069;
2; 2000; 0.000107;
3; 2000; 0.000137;
4; 2000; 0.000164;
1; 3000; 0.000067;
2; 3000; 0.000139;
3; 3000; 0.000160;
4; 3000; 0.000193;
1; 4000; 0.000084;
2; 4000; 0.000145;
3; 4000; 0.000186;
4; 4000; 0.000210;
1; 5000; 0.000098;
2; 5000; 0.000165;
3; 5000; 0.000207;
4; 5000; 0.000246;
1; 6000; 0.000111;
2; 6000; 0.000167;
3; 6000; 0.000227;
4; 6000; 0.000231;
1; 7000; 0.000144;
2; 7000; 0.000218;
3; 7000; 0.000251;
4; 7000; 0.000277;
1; 8000; 0.000152;
2; 8000; 0.000246;
3; 8000; 0.000250;
4; 8000; 0.000337;
1; 9000; 0.000166;
2; 9000; 0.000283;
3; 9000; 0.000283;
4; 9000; 0.000340;
1; 10000; 0.000179;
2; 10000; 0.000260;
3; 10000; 0.000345;
4; 10000; 0.000352;
1; 20000; 0.000348;
2; 20000; 0.000459;
3; 20000; 0.000562;
4; 20000; 0.000509;
1; 30000; 0.000521;
2; 30000; 0.000771;
3; 30000; 0.000673;
4; 30000; 0.000751;
1; 40000; 0.000673;
2; 40000; 0.000834;
3; 40000; 0.000966;
4; 40000; 0.000930;
1; 50000; 0.000837;
2; 50000; 0.001131;
3; 50000; 0.001295;
4; 50000; 0.001320;
1; 60000; 0.001001;
2; 60000; 0.001320;
3; 60000; 0.001184;
4; 60000; 0.001382;
1; 70000; 0.001183;
2; 70000; 0.001468;
3; 70000; 0.001930;
4; 70000; 0.001655;
1; 80000; 0.001314;
2; 80000; 0.001938;
3; 80000; 0.001713;
4; 80000; 0.001861;
1; 90000; 0.001486;
2; 90000; 0.001816;
3; 90000; 0.002614;
4; 90000; 0.001854;
1; 100000; 0.001633;
2; 100000; 0.001985;
3; 100000; 0.002216;
4; 100000; 0.002490;
1; 200000; 0.003309;
2; 200000; 0.003937;
3; 200000; 0.003992;
4; 200000; 0.004993;
1; 300000; 0.004150;
2; 300000; 0.007178;
3; 300000; 0.007152;
4; 300000; 0.006728;
1; 400000; 0.005748;
2; 400000; 0.008268;
3; 400000; 0.009474;
4; 400000; 0.008938;
1; 500000; 0.007474;
2; 500000; 0.009916;
3; 500000; 0.012634;
4; 500000; 0.009890;
1; 600000; 0.009036;
2; 600000; 0.012252;
3; 600000; 0.011567;
4; 600000; 0.014062;
1; 700000; 0.010897;
2; 700000; 0.012833;
3; 700000; 0.016691;
4; 700000; 0.017176;
1; 800000; 0.011472;
2; 800000; 0.018274;
3; 800000; 0.017842;
4; 800000; 0.017823;
1; 900000; 0.012370;
2; 900000; 0.020733;
3; 900000; 0.023650;
4; 900000; 0.020472;
1; 1000000; 0.014147;
2; 1000000; 0.022514;
3; 1000000; 0.023351;
4; 1000000; 0.019642;
1; 2000000; 0.027411;
2; 2000000; 0.038835;
3; 2000000; 0.046055;
4; 2000000; 0.045727;
1; 3000000; 0.040647;
2; 3000000; 0.069190;
3; 3000000; 0.072126;
4; 3000000; 0.059666;
1; 4000000; 0.054851;
2; 4000000; 0.098044;
3; 4000000; 0.101404;
4; 4000000; 0.085469;
1; 5000000; 0.059712;
2; 5000000; 0.101514;
3; 5000000; 0.105797;
4; 5000000; 0.107568;
1; 6000000; 0.071691;
2; 6000000; 0.119899;
3; 6000000; 0.121290;
4; 6000000; 0.117589;
1; 7000000; 0.083593;
2; 7000000; 0.129045;
3; 7000000; 0.117604;
4; 7000000; 0.146622;
1; 8000000; 0.095419;
2; 8000000; 0.129870;
3; 8000000; 0.136719;
4; 8000000; 0.153155;
1; 9000000; 0.107823;
2; 9000000; 0.154980;
3; 9000000; 0.189341;
4; 9000000; 0.147403;
1; 10000000; 0.119262;
2; 10000000; 0.199421;
3; 10000000; 0.207715;
4; 10000000; 0.191773;
1; 20000000; 0.238232;
2; 20000000; 0.373850;
3; 20000000; 0.335020;
4; 20000000; 0.423753;
1; 30000000; 0.355161;
2; 30000000; 0.593458;
3; 30000000; 0.656598;
4; 30000000; 0.545985;
1; 40000000; 0.489612;
2; 40000000; 0.776585;
3; 40000000; 0.879089;
4; 40000000; 0.905020;
1; 50000000; 0.675913;
2; 50000000; 1.097457;
3; 50000000; 1.151865;
4; 50000000; 1.069141;
1; 60000000; 0.812769;
2; 60000000; 1.386659;
3; 60000000; 1.153415;
4; 60000000; 1.345041;
1; 70000000; 0.945228;
2; 70000000; 1.362490;
3; 70000000; 1.680853;
4; 70000000; 1.643679;
1; 80000000; 0.947418;
2; 80000000; 1.465454;
3; 80000000; 1.489125;
4; 80000000; 1.571720;
1; 90000000; 1.062707;
2; 90000000; 1.627779;
3; 90000000; 2.037792;
4; 90000000; 2.100328;
1; 100000000; 1.348956;
2; 100000000; 2.370274;
3; 100000000; 2.284876;
4; 100000000; 1.928104;
