threads; size; time;
0; 0; 0;
1; 1000; 0.000030;
2; 1000; 0.000074;
3; 1000; 0.000105;
4; 1000; 0.000134;
1; 4000; 0.000051;
2; 4000; 0.000088;
3; 4000; 0.000108;
4; 4000; 0.000140;
1; 7000; 0.000076;
2; 7000; 0.000102;
3; 7000; 0.000117;
4; 7000; 0.000141;
1; 10000; 0.000102;
2; 10000; 0.000111;
3; 10000; 0.000137;
4; 10000; 0.000150;
1; 40000; 0.000358;
2; 40000; 0.000243;
3; 40000; 0.000209;
4; 40000; 0.000214;
1; 70000; 0.000644;
2; 70000; 0.000382;
3; 70000; 0.000326;
4; 70000; 0.000289;
1; 100000; 0.000898;
2; 100000; 0.000501;
3; 100000; 0.000390;
4; 100000; 0.000338;
1; 200000; 0.001771;
2; 200000; 0.000977;
3; 200000; 0.000672;
4; 200000; 0.000571;
1; 300000; 0.002663;
2; 300000; 0.001410;
3; 300000; 0.000993;
4; 300000; 0.000777;
1; 400000; 0.003551;
2; 400000; 0.001837;
3; 400000; 0.001335;
4; 400000; 0.001011;
1; 500000; 0.004356;
2; 500000; 0.002279;
3; 500000; 0.001569;
4; 500000; 0.001228;
1; 600000; 0.005307;
2; 600000; 0.002700;
3; 600000; 0.001858;
4; 600000; 0.001905;
1; 700000; 0.006391;
2; 700000; 0.002907;
3; 700000; 0.002169;
4; 700000; 0.001696;
1; 800000; 0.007153;
2; 800000; 0.003611;
3; 800000; 0.002759;
4; 800000; 0.001906;
1; 900000; 0.007011;
2; 900000; 0.004049;
3; 900000; 0.002790;
4; 900000; 0.002115;
1; 1000000; 0.007922;
2; 1000000; 0.004376;
3; 1000000; 0.003014;
4; 1000000; 0.002354;
1; 2000000; 0.015007;
2; 2000000; 0.008227;
3; 2000000; 0.005222;
4; 2000000; 0.004278;
1; 3000000; 0.022276;
2; 3000000; 0.011909;
3; 3000000; 0.007769;
4; 3000000; 0.006072;
1; 4000000; 0.030214;
2; 4000000; 0.015278;
3; 4000000; 0.010129;
4; 4000000; 0.007990;
1; 5000000; 0.036845;
2; 5000000; 0.019432;
3; 5000000; 0.012808;
4; 5000000; 0.010241;
1; 6000000; 0.045258;
2; 6000000; 0.022948;
3; 6000000; 0.015652;
4; 6000000; 0.012087;
1; 7000000; 0.051834;
2; 7000000; 0.026948;
3; 7000000; 0.018050;
4; 7000000; 0.013762;
1; 8000000; 0.059293;
2; 8000000; 0.030488;
3; 8000000; 0.020646;
4; 8000000; 0.016260;
1; 9000000; 0.067895;
2; 9000000; 0.034139;
3; 9000000; 0.023148;
4; 9000000; 0.017793;
1; 10000000; 0.075035;
2; 10000000; 0.038141;
3; 10000000; 0.025817;
4; 10000000; 0.019267;
1; 20000000; 0.149403;
2; 20000000; 0.075042;
3; 20000000; 0.050748;
4; 20000000; 0.039142;
1; 30000000; 0.223023;
2; 30000000; 0.112593;
3; 30000000; 0.077376;
4; 30000000; 0.057583;
1; 40000000; 0.297304;
2; 40000000; 0.149693;
3; 40000000; 0.102916;
4; 40000000; 0.077002;
1; 50000000; 0.373614;
2; 50000000; 0.187142;
3; 50000000; 0.125816;
4; 50000000; 0.094864;
1; 60000000; 0.447445;
2; 60000000; 0.223916;
3; 60000000; 0.151538;
4; 60000000; 0.113724;
1; 70000000; 0.521450;
2; 70000000; 0.260981;
3; 70000000; 0.178432;
4; 70000000; 0.135010;
1; 80000000; 0.596488;
2; 80000000; 0.298343;
3; 80000000; 0.200428;
4; 80000000; 0.152313;
1; 90000000; 0.670763;
2; 90000000; 0.337765;
3; 90000000; 0.225985;
4; 90000000; 0.168771;
1; 100000000; 0.654285;
2; 100000000; 0.328394;
3; 100000000; 0.220540;
4; 100000000; 0.172759;
1; 200000000; 1.307966;
2; 200000000; 0.655734;
3; 200000000; 0.439374;
4; 200000000; 0.342667;
1; 243138329; 1.743417;
2; 243138329; 0.912448;
3; 243138329; 0.582364;
4; 243138329; 0.400549;
