threads; size; time;
0; 0; 0;
1; 1000; 0.000027;
2; 1000; 0.000063;
3; 1000; 0.000083;
4; 1000; 0.000109;
1; 4000; 0.000044;
2; 4000; 0.000086;
3; 4000; 0.000098;
4; 4000; 0.000112;
1; 7000; 0.000067;
2; 7000; 0.000100;
3; 7000; 0.000102;
4; 7000; 0.000132;
1; 10000; 0.000087;
2; 10000; 0.000098;
3; 10000; 0.000107;
4; 10000; 0.000123;
1; 40000; 0.000325;
2; 40000; 0.000211;
3; 40000; 0.000187;
4; 40000; 0.000184;
1; 70000; 0.000552;
2; 70000; 0.000343;
3; 70000; 0.000256;
4; 70000; 0.000234;
1; 100000; 0.000779;
2; 100000; 0.000459;
3; 100000; 0.000335;
4; 100000; 0.000294;
1; 200000; 0.001648;
2; 200000; 0.000833;
3; 200000; 0.000608;
4; 200000; 0.000497;
1; 300000; 0.002326;
2; 300000; 0.001208;
3; 300000; 0.000836;
4; 300000; 0.000683;
1; 400000; 0.003036;
2; 400000; 0.001607;
3; 400000; 0.001121;
4; 400000; 0.000875;
1; 500000; 0.003811;
2; 500000; 0.001992;
3; 500000; 0.001366;
4; 500000; 0.001055;
1; 600000; 0.004558;
2; 600000; 0.002358;
3; 600000; 0.001630;
4; 600000; 0.001261;
1; 700000; 0.005296;
2; 700000; 0.002740;
3; 700000; 0.001883;
4; 700000; 0.001466;
1; 800000; 0.005531;
2; 800000; 0.002745;
3; 800000; 0.002164;
4; 800000; 0.001833;
1; 900000; 0.006168;
2; 900000; 0.003617;
3; 900000; 0.002299;
4; 900000; 0.001882;
1; 1000000; 0.007061;
2; 1000000; 0.004017;
3; 1000000; 0.002726;
4; 1000000; 0.002046;
1; 2000000; 0.013100;
2; 2000000; 0.006813;
3; 2000000; 0.004703;
4; 2000000; 0.004463;
1; 3000000; 0.019856;
2; 3000000; 0.010028;
3; 3000000; 0.007398;
4; 3000000; 0.005807;
1; 4000000; 0.025906;
2; 4000000; 0.013096;
3; 4000000; 0.009213;
4; 4000000; 0.007278;
1; 5000000; 0.032195;
2; 5000000; 0.016569;
3; 5000000; 0.011694;
4; 5000000; 0.009400;
1; 6000000; 0.039995;
2; 6000000; 0.020104;
3; 6000000; 0.013961;
4; 6000000; 0.010204;
1; 7000000; 0.046335;
2; 7000000; 0.023203;
3; 7000000; 0.015839;
4; 7000000; 0.012693;
1; 8000000; 0.052831;
2; 8000000; 0.026840;
3; 8000000; 0.018773;
4; 8000000; 0.013364;
1; 9000000; 0.059545;
2; 9000000; 0.030012;
3; 9000000; 0.020404;
4; 9000000; 0.015769;
1; 10000000; 0.065738;
2; 10000000; 0.032618;
3; 10000000; 0.022637;
4; 10000000; 0.017066;
1; 20000000; 0.131133;
2; 20000000; 0.065878;
3; 20000000; 0.044648;
4; 20000000; 0.034702;
1; 30000000; 0.195544;
2; 30000000; 0.098779;
3; 30000000; 0.066762;
4; 30000000; 0.051000;
1; 40000000; 0.261604;
2; 40000000; 0.131363;
3; 40000000; 0.090181;
4; 40000000; 0.068071;
1; 50000000; 0.327380;
2; 50000000; 0.163634;
3; 50000000; 0.110675;
4; 50000000; 0.083187;
1; 60000000; 0.391368;
2; 60000000; 0.196737;
3; 60000000; 0.131402;
4; 60000000; 0.099772;
1; 70000000; 0.457382;
2; 70000000; 0.229584;
3; 70000000; 0.156262;
4; 70000000; 0.116500;
1; 80000000; 0.551733;
2; 80000000; 0.298747;
3; 80000000; 0.203707;
4; 80000000; 0.153382;
1; 90000000; 0.671996;
2; 90000000; 0.335689;
3; 90000000; 0.225274;
4; 90000000; 0.170527;
1; 100000000; 0.744657;
2; 100000000; 0.372984;
3; 100000000; 0.256514;
4; 100000000; 0.199418;
1; 200000000; 1.489698;
2; 200000000; 0.749092;
3; 200000000; 0.502442;
4; 200000000; 0.386353;
1; 243138329; 1.811174;
2; 243138329; 0.917743;
3; 243138329; 0.615817;
4; 243138329; 0.462225;
