threads; size; time;
0; 0; 0;
1; 1000; 0.000038;
2; 1000; 0.000073;
3; 1000; 0.000098;
4; 1000; 0.000123;
1; 4000; 0.000051;
2; 4000; 0.000095;
3; 4000; 0.000123;
4; 4000; 0.000133;
1; 7000; 0.000076;
2; 7000; 0.000098;
3; 7000; 0.000116;
4; 7000; 0.000789;
1; 10000; 0.000105;
2; 10000; 0.000114;
3; 10000; 0.000121;
4; 10000; 0.000145;
1; 40000; 0.000357;
2; 40000; 0.000243;
3; 40000; 0.000208;
4; 40000; 0.000209;
1; 70000; 0.000613;
2; 70000; 0.000371;
3; 70000; 0.000293;
4; 70000; 0.000296;
1; 100000; 0.000894;
2; 100000; 0.000509;
3; 100000; 0.000396;
4; 100000; 0.000351;
1; 200000; 0.001749;
2; 200000; 0.000945;
3; 200000; 0.000668;
4; 200000; 0.000552;
1; 300000; 0.002637;
2; 300000; 0.001393;
3; 300000; 0.000981;
4; 300000; 0.000787;
1; 400000; 0.003515;
2; 400000; 0.001805;
3; 400000; 0.001331;
4; 400000; 0.000995;
1; 500000; 0.004355;
2; 500000; 0.002230;
3; 500000; 0.001596;
4; 500000; 0.001221;
1; 600000; 0.004496;
2; 600000; 0.002862;
3; 600000; 0.001847;
4; 600000; 0.001446;
1; 700000; 0.006110;
2; 700000; 0.002736;
3; 700000; 0.002148;
4; 700000; 0.001671;
1; 800000; 0.006344;
2; 800000; 0.003639;
3; 800000; 0.002460;
4; 800000; 0.001870;
1; 900000; 0.007255;
2; 900000; 0.003740;
3; 900000; 0.002758;
4; 900000; 0.002139;
1; 1000000; 0.007889;
2; 1000000; 0.004314;
3; 1000000; 0.003002;
4; 1000000; 0.002917;
1; 2000000; 0.016199;
2; 2000000; 0.007844;
3; 2000000; 0.005309;
4; 2000000; 0.004301;
1; 3000000; 0.022435;
2; 3000000; 0.011491;
3; 3000000; 0.007620;
4; 3000000; 0.006311;
1; 4000000; 0.029677;
2; 4000000; 0.015148;
3; 4000000; 0.010514;
4; 4000000; 0.008188;
1; 5000000; 0.036875;
2; 5000000; 0.019277;
3; 5000000; 0.013191;
4; 5000000; 0.010310;
1; 6000000; 0.044414;
2; 6000000; 0.022734;
3; 6000000; 0.015381;
4; 6000000; 0.012321;
1; 7000000; 0.051960;
2; 7000000; 0.026696;
3; 7000000; 0.018358;
4; 7000000; 0.014056;
1; 8000000; 0.059529;
2; 8000000; 0.030750;
3; 8000000; 0.021343;
4; 8000000; 0.015861;
1; 9000000; 0.067849;
2; 9000000; 0.033677;
3; 9000000; 0.023085;
4; 9000000; 0.018009;
1; 10000000; 0.074883;
2; 10000000; 0.037997;
3; 10000000; 0.025686;
4; 10000000; 0.019971;
1; 20000000; 0.151523;
2; 20000000; 0.075891;
3; 20000000; 0.050948;
4; 20000000; 0.039840;
1; 30000000; 0.226657;
2; 30000000; 0.112512;
3; 30000000; 0.076136;
4; 30000000; 0.059005;
1; 40000000; 0.298579;
2; 40000000; 0.150026;
3; 40000000; 0.101238;
4; 40000000; 0.078084;
1; 50000000; 0.374937;
2; 50000000; 0.187129;
3; 50000000; 0.125128;
4; 50000000; 0.094907;
1; 60000000; 0.450481;
2; 60000000; 0.225383;
3; 60000000; 0.150606;
4; 60000000; 0.114757;
1; 70000000; 0.521303;
2; 70000000; 0.261558;
3; 70000000; 0.179824;
4; 70000000; 0.135247;
1; 80000000; 0.597199;
2; 80000000; 0.300333;
3; 80000000; 0.203487;
4; 80000000; 0.231903;
1; 90000000; 0.669968;
2; 90000000; 0.336848;
3; 90000000; 0.224850;
4; 90000000; 0.234627;
1; 100000000; 0.746243;
2; 100000000; 0.374757;
3; 100000000; 0.253055;
4; 100000000; 0.295859;
1; 200000000; 1.493149;
2; 200000000; 0.746133;
3; 200000000; 0.499390;
4; 200000000; 0.533837;
1; 243138329; 1.808606;
2; 243138329; 0.918017;
3; 243138329; 0.613661;
4; 243138329; 0.451659;
