threads; size; time;
0; 0; 0;
1; 1000; 0.000026;
2; 1000; 0.000076;
3; 1000; 0.000086;
4; 1000; 0.000109;
1; 4000; 0.000044;
2; 4000; 0.000079;
3; 4000; 0.000093;
4; 4000; 0.000115;
1; 7000; 0.000067;
2; 7000; 0.000090;
3; 7000; 0.000101;
4; 7000; 0.000119;
1; 10000; 0.000088;
2; 10000; 0.000097;
3; 10000; 0.000109;
4; 10000; 0.000126;
1; 40000; 0.000311;
2; 40000; 0.000211;
3; 40000; 0.000179;
4; 40000; 0.000187;
1; 70000; 0.000563;
2; 70000; 0.000332;
3; 70000; 0.000254;
4; 70000; 0.000245;
1; 100000; 0.000782;
2; 100000; 0.000440;
3; 100000; 0.000345;
4; 100000; 0.000308;
1; 200000; 0.001542;
2; 200000; 0.000828;
3; 200000; 0.000591;
4; 200000; 0.000509;
1; 300000; 0.002332;
2; 300000; 0.001216;
3; 300000; 0.000850;
4; 300000; 0.000704;
1; 400000; 0.003077;
2; 400000; 0.001592;
3; 400000; 0.001134;
4; 400000; 0.000876;
1; 500000; 0.003820;
2; 500000; 0.001978;
3; 500000; 0.001356;
4; 500000; 0.001087;
1; 600000; 0.004555;
2; 600000; 0.002344;
3; 600000; 0.001618;
4; 600000; 0.001277;
1; 700000; 0.005348;
2; 700000; 0.002768;
3; 700000; 0.001874;
4; 700000; 0.001460;
1; 800000; 0.005520;
2; 800000; 0.002899;
3; 800000; 0.002165;
4; 800000; 0.001685;
1; 900000; 0.006963;
2; 900000; 0.003224;
3; 900000; 0.002409;
4; 900000; 0.001887;
1; 1000000; 0.006870;
2; 1000000; 0.003651;
3; 1000000; 0.002620;
4; 1000000; 0.002075;
1; 2000000; 0.013163;
2; 2000000; 0.006979;
3; 2000000; 0.004689;
4; 2000000; 0.004232;
1; 3000000; 0.019898;
2; 3000000; 0.010020;
3; 3000000; 0.006792;
4; 3000000; 0.005378;
1; 4000000; 0.026533;
2; 4000000; 0.013424;
3; 4000000; 0.009322;
4; 4000000; 0.007026;
1; 5000000; 0.032267;
2; 5000000; 0.016317;
3; 5000000; 0.011166;
4; 5000000; 0.008469;
1; 6000000; 0.039596;
2; 6000000; 0.019916;
3; 6000000; 0.013129;
4; 6000000; 0.010702;
1; 7000000; 0.046316;
2; 7000000; 0.023495;
3; 7000000; 0.016241;
4; 7000000; 0.012208;
1; 8000000; 0.053019;
2; 8000000; 0.026411;
3; 8000000; 0.018394;
4; 8000000; 0.013852;
1; 9000000; 0.059362;
2; 9000000; 0.029999;
3; 9000000; 0.020415;
4; 9000000; 0.015934;
1; 10000000; 0.065844;
2; 10000000; 0.033088;
3; 10000000; 0.022613;
4; 10000000; 0.017469;
1; 20000000; 0.131212;
2; 20000000; 0.066681;
3; 20000000; 0.044436;
4; 20000000; 0.034768;
1; 30000000; 0.197259;
2; 30000000; 0.098849;
3; 30000000; 0.066923;
4; 30000000; 0.051240;
1; 40000000; 0.262381;
2; 40000000; 0.131703;
3; 40000000; 0.088396;
4; 40000000; 0.070682;
1; 50000000; 0.327054;
2; 50000000; 0.164215;
3; 50000000; 0.214262;
4; 50000000; 0.083317;
1; 60000000; 0.392323;
2; 60000000; 0.197495;
3; 60000000; 0.135730;
4; 60000000; 0.110516;
1; 70000000; 0.459325;
2; 70000000; 0.229491;
3; 70000000; 0.156117;
4; 70000000; 0.180612;
1; 80000000; 0.522847;
2; 80000000; 0.262762;
3; 80000000; 0.180448;
4; 80000000; 0.206558;
1; 90000000; 0.587965;
2; 90000000; 0.297132;
3; 90000000; 0.197623;
4; 90000000; 0.223936;
1; 100000000; 0.658564;
2; 100000000; 0.328029;
3; 100000000; 0.218608;
4; 100000000; 0.247813;
1; 200000000; 1.306078;
2; 200000000; 0.655398;
3; 200000000; 0.452846;
4; 200000000; 0.332918;
1; 243138329; 1.607363;
2; 243138329; 0.905421;
3; 243138329; 0.611342;
4; 243138329; 0.463983;
