min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;0;
0;2147483647;3333333;3333333;1;644.245159;1;0.000000;0.000355;0.972260;o;0.023113;0.024016;0.352752;0.213310;0.566063;0.192209;0.166457;0.971893;
0;2147483647;6666666;6666666;1;322.122579;2;0.000000;0.000886;1.349773;o;0.045901;0.024962;0.545434;0.264015;0.809450;0.252943;0.215513;1.348875;
0;2147483647;9999999;9999999;1;214.748386;3;0.000000;0.002301;1.961410;o;0.069568;0.026367;0.798781;0.423228;1.222010;0.356330;0.284713;1.959096;
0;2147483647;13333332;13333332;1;161.061290;4;0.000000;0.002468;2.179154;o;0.092279;0.026015;0.916375;0.573464;1.489840;0.259471;0.308910;2.176673;
0;2147483647;16666665;16666665;1;128.849032;5;0.000000;0.004527;2.337848;o;0.119157;0.026059;0.934481;0.682441;1.616923;0.322576;0.248404;2.333307;
0;2147483647;19999998;19999998;1;107.374193;6;0.000000;0.005908;2.531823;o;0.143049;0.025467;0.994573;0.751491;1.746065;0.334936;0.276177;2.525902;
0;2147483647;23333331;23333332;1;92.035019;7;0.000000;0.007410;2.739826;o;0.167083;0.025889;1.051369;0.814947;1.866316;0.394517;0.278337;2.732389;
0;2147483647;26666664;26666664;1;80.530645;8;0.000000;0.009774;2.812302;o;0.198054;0.026226;1.087210;0.877541;1.964753;0.286597;0.326623;2.802514;
0;2147483647;29999997;29999996;1;71.582798;9;0.000000;0.011755;2.939585;o;0.228553;0.026451;1.150640;0.952722;2.103364;0.291600;0.277612;2.927815;
0;2147483647;33333330;33333330;1;64.424516;10;0.000000;0.014925;3.395080;o;0.277786;0.025901;1.223940;1.159608;2.383550;0.298131;0.394484;3.380142;
0;2147483647;36666663;36666664;1;58.567740;11;0.000000;0.018220;3.343712;o;0.318141;0.026508;1.294057;1.113490;2.409097;0.294984;0.271912;3.325480;
0;2147483647;39999996;39999996;1;53.687097;12;0.000000;0.021468;5.242307;o;0.475069;0.028446;2.017880;1.453266;3.472679;0.506101;0.714841;5.220827;
0;2147483647;3333333;3333333;1;644.245159;1;0.000000;0.000367;0.969524;o;0.022331;0.023122;0.350912;0.213197;0.564110;0.193112;0.166441;0.969144;
