min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;0;
0;2147483647;3333333;3333333;1;644.245159;1;0.000000;0.000208;0.919715;o;0.021182;0.022297;0.334130;0.203455;0.537586;0.181218;0.157192;0.919497;
0;2147483647;6666666;6666666;1;322.122579;2;0.000000;0.001323;1.606998;o;0.042008;0.022366;0.733393;0.340225;1.073619;0.230296;0.237089;1.605457;
0;2147483647;9999999;9999999;1;214.748386;3;0.000000;0.001567;1.818845;o;0.066352;0.023400;0.818541;0.376965;1.195507;0.305854;0.225950;1.817266;
0;2147483647;13333332;13333332;1;161.061290;4;0.000000;0.002359;2.101134;o;0.089197;0.024494;0.968676;0.495465;1.464142;0.241702;0.278982;2.098763;
0;2147483647;16666665;16666665;1;128.849032;5;0.000000;0.003610;2.229026;o;0.113511;0.024588;0.963443;0.575632;1.539076;0.296951;0.251077;2.225405;
0;2147483647;19999998;19999998;1;107.374193;6;0.000000;0.005124;2.455204;o;0.138644;0.024663;1.093013;0.651712;1.744726;0.292686;0.249025;2.450068;
0;2147483647;23333331;23333332;1;92.035019;7;0.000000;0.006746;2.583708;o;0.159689;0.025103;1.115692;0.723716;1.839409;0.270424;0.282075;2.576950;
0;2147483647;26666664;26666664;1;80.530645;8;0.000000;0.008707;2.699391;o;0.183778;0.024780;1.166415;0.797894;1.964310;0.244807;0.272706;2.690672;
0;2147483647;29999997;29999996;1;71.582798;9;0.000000;0.011647;2.845568;o;0.220482;0.024808;1.245726;0.831730;2.077457;0.261478;0.249361;2.833909;
0;2147483647;33333330;33333330;1;64.424516;10;0.000000;0.013964;2.946462;o;0.245328;0.024646;1.259083;0.910559;2.169644;0.252063;0.240523;2.932486;
0;2147483647;36666663;36666664;1;58.567740;11;0.000000;0.016382;3.114052;o;0.289485;0.024934;1.317689;0.985405;2.303095;0.248151;0.231677;3.097658;
0;2147483647;39999996;39999996;1;53.687097;12;0.000000;0.019790;3.251056;o;0.321308;0.024916;1.364695;1.026708;2.392901;0.255438;0.236275;3.231254;
0;2147483647;3333333;3333333;1;644.245159;1;0.000000;0.000358;0.911344;o;0.022222;0.021757;0.331414;0.200429;0.531844;0.179854;0.155272;0.910974;
0;2147483647;6666666;6666666;1;322.122579;2;0.000000;0.001324;1.598263;o;0.042382;0.022571;0.724833;0.339245;1.064079;0.228332;0.239480;1.596927;
