min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;2147483647;500000;500000;1;4294.967294;1;0.000000;0.000208;0.175428;o;0.003782;0.004645;0.064114;0.035646;0.099761;0.037109;0.029879;0.175206;
0;2147483647;500000;250000;2;8589.934588;1;0.000000;0.000557;0.167185;o;0.002577;0.004726;0.053214;0.030802;0.084018;0.045413;0.029834;0.166613;
0;2147483647;500000;166667;3;12884.876112;1;0.000000;0.000123;0.166767;o;0.001247;0.004727;0.049072;0.031794;0.080867;0.048137;0.031623;0.166630;
0;2147483647;500000;125000;4;17179.869176;1;0.000000;0.000249;0.186005;o;0.001559;0.004639;0.061514;0.032128;0.093644;0.052413;0.033454;0.185743;
0;2147483647;500000;100000;5;21474.836470;1;0.000000;0.000183;0.194321;o;0.001241;0.004677;0.062386;0.035968;0.098355;0.054473;0.035350;0.194125;
0;2147483647;500000;83334;6;25769.597607;1;0.000000;0.000170;0.193606;o;0.001084;0.004683;0.050404;0.052175;0.102580;0.051897;0.033148;0.193422;
0;2147483647;500000;71429;7;30064.590670;1;0.000000;0.000134;0.155576;o;0.000780;0.004478;0.029328;0.034937;0.064266;0.050259;0.035619;0.155430;
0;2147483647;500000;62500;8;34359.738352;1;0.000000;0.000121;0.163569;o;0.000764;0.004486;0.029345;0.038087;0.067433;0.052002;0.038713;0.163432;
0;2147483647;500000;55556;9;38654.396411;1;0.000000;0.000119;0.168374;o;0.000630;0.004410;0.029170;0.040431;0.069602;0.052194;0.041378;0.168243;
0;2147483647;500000;50000;10;42949.672940;1;0.000000;0.000133;0.171388;o;0.000532;0.004322;0.029441;0.040522;0.069964;0.052859;0.043540;0.171243;
0;2147483647;500000;45455;11;47244.167792;1;0.000000;0.000100;0.172183;o;0.000530;0.004322;0.027436;0.044305;0.071742;0.050278;0.045169;0.172070;
0;2147483647;500000;41667;12;51539.195214;1;0.000000;0.000099;0.206864;o;0.000620;0.004528;0.038038;0.051761;0.089801;0.063303;0.048467;0.206751;
