min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;0;
0;2147483647;10000000;10000000;1;214.748365;1;0.000000;0.000574;3.112381;o;0.065089;0.074770;1.117419;0.666793;1.784213;0.677220;0.510464;3.111794;
0;2147483647;10000000;10000000;1;214.748365;2;0.000000;0.000972;1.919104;o;0.065503;0.037585;0.824193;0.398865;1.223059;0.315229;0.276656;1.918118;
0;2147483647;10000000;10000000;1;214.748365;3;0.000000;0.001511;1.382143;o;0.066057;0.024988;0.572820;0.311963;0.884784;0.216173;0.188540;1.380619;
0;2147483647;10000000;10000000;1;214.748365;4;0.000000;0.002086;1.095339;o;0.067821;0.019240;0.441713;0.270073;0.711787;0.156402;0.137884;1.093241;
0;2147483647;10000000;10000000;1;214.748365;5;0.000000;0.002319;1.108247;o;0.072453;0.016564;0.407290;0.294595;0.701886;0.162019;0.152846;1.105915;
0;2147483647;10000000;10000000;1;214.748365;6;0.000000;0.003784;1.409645;o;0.103345;0.014340;0.547347;0.353630;0.900978;0.165289;0.221721;1.405848;
0;2147483647;10000000;10000000;1;214.748365;7;0.000000;0.004827;1.384788;o;0.107581;0.013190;0.474635;0.327860;0.802497;0.145118;0.311375;1.379949;
0;2147483647;10000000;10000000;1;214.748365;8;0.000000;0.004408;1.273500;o;0.111833;0.020375;0.518771;0.303781;0.834568;0.127419;0.170085;1.269079;
0;2147483647;10000000;10000000;1;214.748365;9;0.000000;0.005033;1.194726;o;0.115446;0.009204;0.488620;0.303280;0.791902;0.113730;0.153114;1.189680;
0;2147483647;10000000;10000000;1;214.748365;10;0.000000;0.005608;1.269086;o;0.137194;0.008489;0.440243;0.307285;0.747530;0.141402;0.222456;1.263463;
0;2147483647;10000000;10000000;1;214.748365;11;0.000000;0.006450;1.100089;o;0.119908;0.007905;0.431920;0.292956;0.724877;0.124608;0.108421;1.093625;
0;2147483647;10000000;10000000;1;214.748365;12;0.000000;0.007533;1.315286;o;0.125364;0.009844;0.640108;0.288973;0.930656;0.117568;0.107421;1.307739;
0;2147483647;10000000;10000000;1;214.748365;1;0.000000;0.000592;3.114027;o;0.066561;0.074496;1.122853;0.663499;1.786353;0.676636;0.509338;3.113421;
0;2147483647;10000000;10000000;1;214.748365;2;0.000000;0.000784;1.920177;o;0.065653;0.037977;0.824520;0.397534;1.222055;0.315845;0.277763;1.919381;
0;2147483647;10000000;10000000;1;214.748365;3;0.000000;0.001346;1.375272;o;0.065935;0.025473;0.568476;0.311262;0.879740;0.216028;0.186642;1.373913;
0;2147483647;10000000;10000000;1;214.748365;4;0.000000;0.002055;1.102318;o;0.068438;0.019284;0.446419;0.269726;0.716146;0.157275;0.138989;1.100250;
0;2147483647;10000000;10000000;1;214.748365;5;0.000000;0.002577;1.327227;o;0.077361;0.017162;0.489694;0.323237;0.812933;0.235366;0.181655;1.324636;
0;2147483647;10000000;10000000;1;214.748365;6;0.000000;0.004009;1.403077;o;0.108773;0.014817;0.532215;0.358169;0.890386;0.167800;0.217086;1.399053;
0;2147483647;10000000;10000000;1;214.748365;7;0.000000;0.004474;1.403683;o;0.108877;0.013548;0.522528;0.358216;0.880745;0.159488;0.236332;1.399196;
0;2147483647;10000000;10000000;1;214.748365;8;0.000000;0.005098;1.385899;o;0.117984;0.011442;0.487213;0.331249;0.818464;0.205357;0.227228;1.380788;
0;2147483647;10000000;10000000;1;214.748365;9;0.000000;0.005078;1.253660;o;0.116077;0.009225;0.502214;0.316968;0.819183;0.116318;0.181356;1.248568;
0;2147483647;10000000;10000000;1;214.748365;10;0.000000;0.005778;1.274466;o;0.123207;0.017843;0.516375;0.285083;0.802963;0.152552;0.165698;1.268673;
0;2147483647;10000000;10000000;1;214.748365;11;0.000000;0.007086;1.262599;o;0.146265;0.008234;0.491945;0.291565;0.783553;0.130718;0.181876;1.255500;
0;2147483647;10000000;10000000;1;214.748365;12;0.000000;0.007358;1.154681;o;0.153333;0.015037;0.460029;0.285274;0.745333;0.113981;0.108800;1.147310;
0;2147483647;10000000;10000000;1;214.748365;1;0.000000;0.000549;3.110984;o;0.065801;0.074300;1.120087;0.663086;1.783173;0.677237;0.509871;3.110421;
0;2147483647;10000000;10000000;1;214.748365;2;0.000000;0.000803;1.939194;o;0.065755;0.038007;0.835075;0.401892;1.236968;0.318135;0.279419;1.938377;
0;2147483647;10000000;10000000;1;214.748365;3;0.000000;0.001739;1.399014;o;0.067813;0.025262;0.583997;0.311186;0.895184;0.215776;0.193098;1.397261;
0;2147483647;10000000;10000000;1;214.748365;4;0.000000;0.002061;1.119753;o;0.067533;0.019031;0.465192;0.270410;0.735603;0.156545;0.138848;1.117679;
0;2147483647;10000000;10000000;1;214.748365;5;0.000000;0.002512;1.114679;o;0.075647;0.017835;0.442672;0.288992;0.731665;0.166962;0.119870;1.112155;
0;2147483647;10000000;10000000;1;214.748365;6;0.000000;0.003310;1.390507;o;0.106858;0.014873;0.528871;0.354089;0.882962;0.167666;0.214635;1.387184;
0;2147483647;10000000;10000000;1;214.748365;7;0.000000;0.004567;1.382271;o;0.103476;0.012475;0.509322;0.347758;0.857082;0.172134;0.232292;1.377690;
0;2147483647;10000000;10000000;1;214.748365;8;0.000000;0.005089;1.338862;o;0.117619;0.012124;0.485050;0.342747;0.827798;0.180483;0.193606;1.333758;
0;2147483647;10000000;10000000;1;214.748365;9;0.000000;0.006022;1.173591;o;0.102127;0.009330;0.484055;0.303132;0.787189;0.140887;0.123195;1.167555;
0;2147483647;10000000;10000000;1;214.748365;10;0.000000;0.005845;1.236617;o;0.119438;0.008590;0.450637;0.318583;0.769221;0.130153;0.198446;1.230759;
0;2147483647;10000000;10000000;1;214.748365;11;0.000000;0.006478;1.130763;o;0.121914;0.007932;0.444419;0.300476;0.744896;0.128252;0.114934;1.124272;
0;2147483647;10000000;10000000;1;214.748365;12;0.000000;0.008074;1.093789;o;0.134793;0.012994;0.425249;0.278460;0.703711;0.115892;0.107313;1.085701;
0;2147483647;10000000;10000000;1;214.748365;1;0.000000;0.000571;3.135389;o;0.065559;0.075090;1.120352;0.671778;1.792131;0.681645;0.520344;3.134804;
0;2147483647;10000000;10000000;1;214.748365;2;0.000000;0.000795;1.926250;o;0.065939;0.037852;0.833277;0.398398;1.231676;0.315089;0.274802;1.925442;
0;2147483647;10000000;10000000;1;214.748365;3;0.000000;0.001334;1.396425;o;0.066450;0.025921;0.582799;0.312879;0.895679;0.217694;0.189240;1.395078;
0;2147483647;10000000;10000000;1;214.748365;4;0.000000;0.002064;1.124978;o;0.067823;0.018848;0.464878;0.270395;0.735274;0.156784;0.144028;1.122901;
0;2147483647;10000000;10000000;1;214.748365;5;0.000000;0.002617;1.197143;o;0.078367;0.017152;0.479471;0.289651;0.769124;0.182719;0.146920;1.194513;
0;2147483647;10000000;10000000;1;214.748365;6;0.000000;0.003798;1.390590;o;0.101254;0.015285;0.521378;0.358081;0.879460;0.164585;0.226013;1.386779;
0;2147483647;10000000;10000000;1;214.748365;7;0.000000;0.004306;1.386049;o;0.102523;0.013410;0.513231;0.347532;0.860765;0.167711;0.237065;1.381729;
0;2147483647;10000000;10000000;1;214.748365;8;0.000000;0.004943;1.400455;o;0.121574;0.011944;0.542870;0.349403;0.893829;0.178213;0.186409;1.395492;
0;2147483647;10000000;10000000;1;214.748365;9;0.000000;0.004792;1.222909;o;0.116191;0.009340;0.465979;0.328933;0.794914;0.125236;0.167553;1.218103;
0;2147483647;10000000;10000000;1;214.748365;10;0.000000;0.005557;1.141425;o;0.124086;0.008840;0.451156;0.307771;0.758929;0.107961;0.130947;1.135853;
0;2147483647;10000000;10000000;1;214.748365;11;0.000000;0.006264;1.096941;o;0.124264;0.007937;0.424748;0.296445;0.721195;0.122052;0.110323;1.090664;
0;2147483647;10000000;10000000;1;214.748365;12;0.000000;0.006868;1.059093;o;0.120786;0.007339;0.420806;0.283485;0.704292;0.110942;0.100993;1.052211;
0;2147483647;10000000;10000000;1;214.748365;1;0.000000;0.000548;3.116586;o;0.065882;0.075048;1.122503;0.664147;1.786651;0.677281;0.511125;3.116024;
0;2147483647;10000000;10000000;1;214.748365;2;0.000000;0.000800;1.916912;o;0.066294;0.037960;0.823652;0.397020;1.220673;0.314940;0.276137;1.916098;
0;2147483647;10000000;10000000;1;214.748365;3;0.000000;0.001512;1.411810;o;0.066718;0.025386;0.572605;0.297536;0.870142;0.230540;0.217399;1.410284;
0;2147483647;10000000;10000000;1;214.748365;4;0.000000;0.001895;1.094318;o;0.067219;0.019301;0.440582;0.269936;0.710520;0.157255;0.137995;1.092410;
0;2147483647;10000000;10000000;1;214.748365;5;0.000000;0.003424;1.080446;o;0.074297;0.015786;0.385146;0.289616;0.674764;0.165524;0.146423;1.077008;
0;2147483647;10000000;10000000;1;214.748365;6;0.000000;0.003369;1.395284;o;0.106194;0.014864;0.536867;0.353137;0.890005;0.162762;0.217878;1.391902;
0;2147483647;10000000;10000000;1;214.748365;7;0.000000;0.004638;1.431563;o;0.106717;0.013191;0.506900;0.370348;0.877249;0.200486;0.229023;1.426912;
0;2147483647;10000000;10000000;1;214.748365;8;0.000000;0.005279;1.330113;o;0.119150;0.011533;0.471832;0.333653;0.805486;0.161890;0.224927;1.324821;
0;2147483647;10000000;10000000;1;214.748365;9;0.000000;0.004999;1.261641;o;0.110952;0.009287;0.485371;0.317762;0.803134;0.147991;0.178855;1.256628;
0;2147483647;10000000;10000000;1;214.748365;10;0.000000;0.005705;1.168100;o;0.119675;0.008491;0.475019;0.295884;0.770905;0.129629;0.122139;1.162382;
0;2147483647;10000000;10000000;1;214.748365;11;0.000000;0.007027;1.125239;o;0.126707;0.008836;0.452483;0.298153;0.750636;0.118912;0.109724;1.118199;
