min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;0;
0;32766;10000000;10000000;1;0.003277;1;0.000000;0.000396;3.736667;o;0.059681;0.063940;0.445699;1.024332;1.470032;1.074453;1.068125;3.736259;
0;32766;10000000;10000000;1;0.003277;2;0.000000;0.001031;2.777825;o;0.061981;0.033421;0.502884;0.690818;1.193703;0.756459;0.731107;2.776783;
0;32766;10000000;10000000;1;0.003277;3;0.000000;0.001590;2.125751;o;0.064886;0.023742;0.467530;0.513560;0.981091;0.545133;0.509130;2.124150;
0;32766;10000000;10000000;1;0.003277;4;0.000000;0.001991;1.699258;o;0.067421;0.018645;0.447694;0.370450;0.818145;0.375564;0.417282;1.697255;
0;32766;10000000;10000000;1;0.003277;5;0.000000;0.002369;1.443429;o;0.067101;0.015230;0.386004;0.308550;0.694554;0.304681;0.359259;1.441049;
0;32766;10000000;10000000;1;0.003277;6;0.000001;0.003022;1.214391;o;0.067885;0.012442;0.371867;0.266549;0.638418;0.239347;0.253068;1.211357;
0;32766;10000000;10000000;1;0.003277;7;0.000000;0.003740;1.109023;o;0.069413;0.011103;0.359169;0.240031;0.599201;0.205886;0.219222;1.105273;
0;32766;10000000;10000000;1;0.003277;8;0.000000;0.003840;1.022262;o;0.069773;0.009735;0.357706;0.218449;0.576156;0.181657;0.180870;1.018410;
0;32766;10000000;10000000;1;0.003277;9;0.000000;0.004603;0.929129;o;0.075118;0.008553;0.314600;0.202152;0.516753;0.162484;0.161295;0.924515;
0;32766;10000000;10000000;1;0.003277;10;0.000000;0.005017;0.902222;o;0.074609;0.008136;0.333140;0.187575;0.520716;0.146847;0.146176;0.897194;
0;32766;10000000;10000000;1;0.003277;11;0.000000;0.005738;0.848596;o;0.080692;0.007418;0.310185;0.176525;0.486712;0.134425;0.133251;0.842845;
0;32766;10000000;10000000;1;0.003277;12;0.000000;0.006110;0.811192;o;0.083297;0.006653;0.301365;0.167948;0.469314;0.123240;0.122273;0.805071;
0;32766;10000000;10000000;1;0.003277;1;0.000000;0.000521;3.739343;o;0.060420;0.064433;0.446672;1.022941;1.469614;1.075283;1.069033;3.738811;
0;32766;10000000;10000000;1;0.003277;2;0.000000;0.001011;2.746994;o;0.062911;0.033340;0.484126;0.686999;1.171126;0.750207;0.728261;2.745971;
0;32766;10000000;10000000;1;0.003277;3;0.000000;0.001405;2.099374;o;0.064663;0.023845;0.471420;0.517610;0.989032;0.535092;0.485187;2.097957;
0;32766;10000000;10000000;1;0.003277;4;0.000000;0.002058;1.688989;o;0.067324;0.018589;0.438048;0.369818;0.807867;0.373248;0.419763;1.686919;
0;32766;10000000;10000000;1;0.003277;5;0.000000;0.002569;1.452009;o;0.068883;0.015093;0.391092;0.307963;0.699056;0.304932;0.361249;1.449381;
0;32766;10000000;10000000;1;0.003277;6;0.000000;0.003116;1.228679;o;0.068487;0.012468;0.384062;0.267165;0.651227;0.239835;0.253323;1.225552;
0;32766;10000000;10000000;1;0.003277;7;0.000000;0.003791;1.092344;o;0.068815;0.010902;0.340232;0.240086;0.580319;0.207225;0.221003;1.088542;
0;32766;10000000;10000000;1;0.003277;8;0.000000;0.004028;1.006840;o;0.069593;0.009731;0.340016;0.222873;0.562891;0.180370;0.179965;1.002800;
0;32766;10000000;10000000;1;0.003277;9;0.000000;0.004578;0.933253;o;0.074353;0.008512;0.320835;0.200406;0.521242;0.162300;0.161971;0.928661;
0;32766;10000000;10000000;1;0.003277;10;0.000000;0.005025;0.885719;o;0.073972;0.008350;0.318378;0.187234;0.505612;0.146792;0.145682;0.880681;
0;32766;10000000;10000000;1;0.003277;11;0.000000;0.005762;0.859862;o;0.080598;0.007800;0.319921;0.176481;0.496403;0.134578;0.134354;0.854089;
0;32766;10000000;10000000;1;0.003277;12;0.000000;0.006136;0.810239;o;0.081979;0.006623;0.302135;0.167758;0.469894;0.123152;0.122059;0.804091;
0;32766;10000000;10000000;1;0.003277;1;0.000000;0.000493;3.735652;o;0.060007;0.064618;0.443385;1.023393;1.466779;1.073788;1.069914;3.735135;
0;32766;10000000;10000000;1;0.003277;2;0.000000;0.000999;2.762842;o;0.062984;0.033343;0.502961;0.684858;1.187820;0.759308;0.718273;2.761832;
0;32766;10000000;10000000;1;0.003277;3;0.000000;0.001783;2.057894;o;0.065245;0.023614;0.450009;0.468851;0.918861;0.558225;0.489996;2.056100;
0;32766;10000000;10000000;1;0.003277;4;0.000000;0.002672;1.661627;o;0.067716;0.018779;0.405897;0.371245;0.777143;0.374000;0.421132;1.658943;
