min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;2147483647;40000000;40000000;1;53.687091;1;0.000000;0.001576;12.726861;o;0.256818;0.272255;4.720180;3.027243;7.747425;2.438624;2.010108;12.725262;
0;2147483647;40000000;40000000;1;53.687091;2;0.000000;0.002894;8.906565;o;0.267819;0.147912;3.413639;2.118433;5.532074;1.539692;1.415952;8.903658;
0;2147483647;40000000;40000000;1;53.687091;3;0.000000;0.005406;8.370203;o;0.272100;0.101752;3.235869;2.326991;5.562862;1.192442;1.235482;8.364785;
0;2147483647;40000000;40000000;1;53.687091;4;0.000000;0.006581;6.646573;o;0.277753;0.076135;2.619326;1.876020;4.495347;0.917442;0.873129;6.639979;
0;2147483647;40000000;40000000;1;53.687091;5;0.000000;0.008274;6.192805;o;0.279938;0.061599;2.233573;1.725165;3.958740;0.933301;0.950732;6.184518;
0;2147483647;40000000;40000000;1;53.687091;6;0.000000;0.010126;5.184497;o;0.284884;0.052064;2.012694;1.689183;3.701878;0.601120;0.533782;5.174357;
0;2147483647;40000000;40000000;1;53.687091;7;0.000000;0.011797;4.862680;o;0.288482;0.044536;1.781294;1.593894;3.375201;0.590655;0.551794;4.850869;
0;2147483647;40000000;40000000;1;53.687091;8;0.000000;0.013309;4.542419;o;0.298308;0.038653;1.734825;1.348320;3.083146;0.631260;0.477485;4.529098;
0;2147483647;40000000;40000000;1;53.687091;9;0.000000;0.014632;4.117964;o;0.307107;0.035435;1.537426;1.321712;2.859140;0.421804;0.477601;4.103318;
0;2147483647;40000000;40000000;1;53.687091;10;0.000000;0.017021;3.818745;o;0.334939;0.031193;1.460780;1.239498;2.701809;0.377412;0.351468;3.801712;
0;2147483647;40000000;40000000;1;53.687091;11;0.000000;0.019915;3.662300;o;0.352541;0.028875;1.402053;1.201650;2.605244;0.339139;0.313200;3.642372;
0;2147483647;40000000;40000000;1;53.687091;12;0.000000;0.022171;4.588707;o;0.524774;0.039116;1.559196;1.481819;3.041016;0.547626;0.404489;4.566521;
0;2147483647;40000000;40000000;1;53.687091;1;0.000000;0.001583;12.754192;o;0.257267;0.273461;4.721860;3.032000;7.753861;2.453916;2.014056;12.752596;
0;2147483647;40000000;40000000;1;53.687091;2;0.000000;0.003039;9.045314;o;0.272478;0.147530;3.420172;2.113392;5.533565;1.399037;1.689454;9.042263;
0;2147483647;40000000;40000000;1;53.687091;3;0.000000;0.005196;8.480108;o;0.277640;0.103343;3.219063;2.360284;5.579350;1.206915;1.307527;8.474899;
0;2147483647;40000000;40000000;1;53.687091;4;0.000000;0.006576;6.679646;o;0.280574;0.076061;2.721660;1.857018;4.578680;0.877386;0.860163;6.673058;
0;2147483647;40000000;40000000;1;53.687091;5;0.000000;0.008329;5.961274;o;0.281460;0.061512;2.256931;1.757423;4.014355;0.744593;0.850851;5.952933;
