min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;2147483647;40000000;4000000;10;536.870912;1;0.000000;0.000268;16.942899;o;0.026128;0.297739;4.192704;3.685598;7.878303;5.046945;3.693468;16.942618;
0;2147483647;40000000;4000000;10;536.870912;2;0.000000;0.000424;9.650684;o;0.026792;0.148945;3.241555;1.712759;4.954315;2.629276;1.890826;9.650247;
0;2147483647;40000000;4000000;10;536.870912;3;0.000000;0.000420;6.706015;o;0.027138;0.099291;2.285890;1.175592;3.461483;1.775006;1.342561;6.705581;
0;2147483647;40000000;4000000;10;536.870912;4;0.000000;0.000251;5.170716;o;0.027727;0.075078;1.797398;0.910077;2.707476;1.310618;1.049453;5.170451;
0;2147483647;40000000;4000000;10;536.870912;5;0.000000;0.000455;4.838290;o;0.029165;0.060156;1.527630;0.987844;2.515476;1.284498;0.948311;4.837821;
0;2147483647;40000000;4000000;10;536.870912;6;0.000000;0.000489;5.085925;o;0.044754;0.050881;1.568143;1.028967;2.597112;1.393929;0.998485;5.085422;
0;2147483647;40000000;4000000;10;536.870912;7;0.000000;0.000447;5.749174;o;0.041929;0.048154;2.127701;1.111391;3.239094;1.322442;1.093135;5.748714;
0;2147483647;40000000;4000000;10;536.870912;8;0.000000;0.000308;5.710850;o;0.050969;0.044410;2.212328;1.145347;3.357676;1.191810;1.061047;5.710529;
0;2147483647;40000000;4000000;10;536.870912;9;0.000000;0.000389;4.839336;o;0.049830;0.038955;1.857301;0.960683;2.817986;1.062295;0.862050;4.838933;
0;2147483647;40000000;4000000;10;536.870912;10;0.000000;0.000315;5.006256;o;0.052743;0.034161;1.778060;1.029558;2.807645;1.099017;1.002843;5.005927;
0;2147483647;40000000;4000000;10;536.870912;11;0.000000;0.000298;4.913270;o;0.050459;0.046166;2.262015;0.897119;3.160698;0.931412;0.714364;4.912958;
0;2147483647;40000000;4000000;10;536.870912;12;0.000000;0.000304;4.594264;o;0.065254;0.041765;1.761271;0.988288;2.749561;1.004953;0.722848;4.593947;
0;2147483647;40000000;4000000;10;536.870912;1;0.000000;0.000261;16.939804;o;0.026388;0.297336;4.194906;3.680653;7.875561;5.050589;3.689619;16.939529;
0;2147483647;40000000;4000000;10;536.870912;2;0.000000;0.000254;9.743358;o;0.026339;0.149550;3.216914;1.635773;4.852688;2.627062;2.087351;9.743090;
0;2147483647;40000000;4000000;10;536.870912;3;0.000000;0.000435;6.693174;o;0.027216;0.099468;2.232362;1.166638;3.399001;1.775391;1.391551;6.692725;
0;2147483647;40000000;4000000;10;536.870912;4;0.000000;0.000440;5.105242;o;0.028160;0.074578;1.747992;0.920273;2.668266;1.325289;1.008383;5.104788;
0;2147483647;40000000;4000000;10;536.870912;5;0.000000;0.000257;4.858786;o;0.029208;0.062266;1.574752;0.935714;2.510468;1.266570;0.989801;4.858514;
0;2147483647;40000000;4000000;10;536.870912;6;0.000000;0.000929;5.566101;o;0.042133;0.057760;2.193459;1.008718;3.202178;1.287461;0.975457;5.565158;
0;2147483647;40000000;4000000;10;536.870912;7;0.000000;0.000473;5.796477;o;0.042690;0.048450;2.234581;1.208385;3.442967;1.311743;0.946875;5.795990;
0;2147483647;40000000;4000000;10;536.870912;8;0.000000;0.000288;5.621642;o;0.047655;0.044860;1.996897;1.092870;3.089767;1.237189;1.196845;5.621340;
0;2147483647;40000000;4000000;10;536.870912;9;0.000000;0.000297;4.707841;o;0.047626;0.038295;1.830185;0.887661;2.717848;0.994359;0.902266;4.707529;
0;2147483647;40000000;4000000;10;536.870912;10;0.000000;0.000315;4.855777;o;0.052059;0.034041;1.773334;1.069493;2.842828;1.058845;0.859845;4.855449;
0;2147483647;40000000;4000000;10;536.870912;11;0.000000;0.000745;4.894076;o;0.061972;0.026595;1.829526;0.948513;2.778043;1.038431;0.970778;4.893317;
0;2147483647;40000000;4000000;10;536.870912;12;0.000000;0.000384;4.460074;o;0.055604;0.040788;1.745166;0.940301;2.699251;0.846976;0.812062;4.459675;
0;2147483647;40000000;4000000;10;536.870912;1;0.000000;0.000423;16.981667;o;0.026524;0.296726;4.202848;3.702538;7.905387;5.055752;3.696805;16.981231;
0;2147483647;40000000;4000000;10;536.870912;2;0.000000;0.000250;9.755089;o;0.026285;0.149499;3.232130;1.690235;4.922366;2.628563;2.028024;9.754825;
0;2147483647;40000000;4000000;10;536.870912;3;0.000000;0.000443;6.664070;o;0.027153;0.099376;2.294624;1.178255;3.472880;1.773038;1.291070;6.663615;
0;2147483647;40000000;4000000;10;536.870912;4;0.000000;0.000430;5.230368;o;0.027858;0.075034;1.839784;0.896132;2.735917;1.320104;1.070878;5.229924;
0;2147483647;40000000;4000000;10;536.870912;5;0.000000;0.000261;4.966116;o;0.029243;0.060505;1.535633;1.017084;2.552718;1.304691;1.018486;4.965841;
0;2147483647;40000000;4000000;10;536.870912;6;0.000000;0.000281;5.625826;o;0.041566;0.057245;2.158464;1.060145;3.218610;1.377413;0.930521;5.625531;
0;2147483647;40000000;4000000;10;536.870912;7;0.000000;0.000282;5.237758;o;0.041635;0.047958;1.902090;1.020736;2.922827;1.235687;0.984601;5.237461;
0;2147483647;40000000;4000000;10;536.870912;8;0.000000;0.000284;5.801842;o;0.049859;0.042366;2.036715;1.061177;3.097894;1.403363;1.203201;5.801544;
0;2147483647;40000000;4000000;10;536.870912;9;0.000000;0.000491;5.562489;o;0.049700;0.037978;2.329486;0.939286;3.268800;1.018543;1.181158;5.561985;
0;2147483647;40000000;4000000;10;536.870912;10;0.000000;0.000504;4.831644;o;0.049416;0.033672;1.857360;0.944273;2.801635;1.040966;0.896080;4.831126;
0;2147483647;40000000;4000000;10;536.870912;11;0.000000;0.000326;5.018159;o;0.051364;0.031745;1.849593;1.116290;2.965884;1.071151;0.888141;5.017820;
0;2147483647;40000000;4000000;10;536.870912;12;0.000000;0.000583;4.515127;o;0.053951;0.029028;1.769585;0.965140;2.737399;0.902848;0.783408;4.514531;
0;2147483647;40000000;4000000;10;536.870912;1;0.000000;0.000292;16.961516;o;0.026467;0.297068;4.193648;3.693749;7.887398;5.081668;3.668566;16.961211;
0;2147483647;40000000;4000000;10;536.870912;2;0.000000;0.000440;9.540865;o;0.026803;0.148658;3.194962;1.695894;4.890857;2.631442;1.842562;9.540412;
0;2147483647;40000000;4000000;10;536.870912;3;0.000000;0.000428;6.624229;o;0.027362;0.099762;2.253064;1.178710;3.431775;1.773510;1.291281;6.623788;
0;2147483647;40000000;4000000;10;536.870912;4;0.000000;0.000453;5.062696;o;0.028824;0.074975;1.750469;0.918938;2.669408;1.325017;0.963888;5.062228;
0;2147483647;40000000;4000000;10;536.870912;5;0.000000;0.000432;4.796709;o;0.029368;0.061766;1.532784;0.886905;2.419690;1.279044;1.006210;4.796263;
0;2147483647;40000000;4000000;10;536.870912;6;0.000000;0.000278;5.723157;o;0.045464;0.057344;2.120375;1.063760;3.184136;1.377623;1.058127;5.722864;
0;2147483647;40000000;4000000;10;536.870912;7;0.000000;0.000506;5.061021;o;0.042555;0.048825;1.911519;0.845509;2.758605;1.253147;0.952649;5.060501;
0;2147483647;40000000;4000000;10;536.870912;8;0.000000;0.000291;5.149108;o;0.047106;0.043662;1.916284;0.963815;2.880100;1.267983;0.905147;5.148803;
0;2147483647;40000000;4000000;10;536.870912;9;0.000000;0.000298;5.474639;o;0.046161;0.038057;1.898833;1.025784;2.924641;1.365081;1.093488;5.474327;
0;2147483647;40000000;4000000;10;536.870912;10;0.000000;0.000524;4.826136;o;0.048874;0.034129;1.845095;0.977939;2.823036;0.978433;0.933304;4.825599;
0;2147483647;40000000;4000000;10;536.870912;11;0.000000;0.000306;4.683833;o;0.052337;0.031225;1.751787;1.043424;2.795213;1.003249;0.793569;4.683514;
0;2147483647;40000000;4000000;10;536.870912;12;0.000000;0.000481;4.587116;o;0.052235;0.036618;1.740758;0.961279;2.703508;0.983082;0.801779;4.586620;
0;2147483647;40000000;4000000;10;536.870912;1;0.000000;0.000256;16.950263;o;0.025847;0.297585;4.194146;3.694964;7.889111;5.044823;3.692591;16.949993;
0;2147483647;40000000;4000000;10;536.870912;2;0.000000;0.000440;9.418519;o;0.026284;0.149311;3.215244;1.658671;4.873915;2.572036;1.796432;9.418064;
0;2147483647;40000000;4000000;10;536.870912;3;0.000000;0.000469;6.698429;o;0.026967;0.099445;2.291509;1.176779;3.468290;1.776383;1.326757;6.697941;
0;2147483647;40000000;4000000;10;536.870912;4;0.000000;0.000429;5.147579;o;0.027935;0.074655;1.792500;0.911774;2.704275;1.308868;1.031290;5.147136;
0;2147483647;40000000;4000000;10;536.870912;5;0.000000;0.000450;4.803430;o;0.029547;0.063989;1.540073;0.919507;2.459581;1.300902;0.948752;4.802966;
0;2147483647;40000000;4000000;10;536.870912;6;0.000000;0.000491;6.018665;o;0.042060;0.057215;2.022026;1.262795;3.284823;1.586404;1.047463;6.018159;
0;2147483647;40000000;4000000;10;536.870912;7;0.000000;0.000285;5.401043;o;0.041192;0.047974;1.912558;1.012852;2.925412;1.263045;1.119914;5.400743;
0;2147483647;40000000;4000000;10;536.870912;8;0.000000;0.000489;5.161346;o;0.047639;0.042612;1.917728;1.012298;2.930027;1.215466;0.920111;5.160843;
0;2147483647;40000000;4000000;10;536.870912;9;0.000000;0.000344;5.381097;o;0.049874;0.051163;1.873428;1.033003;2.906433;1.297852;1.065939;5.380738;
0;2147483647;40000000;4000000;10;536.870912;10;0.000000;0.000294;4.898087;o;0.049514;0.047784;1.907097;1.000249;2.907347;1.049093;0.834652;4.897779;
0;2147483647;40000000;4000000;10;536.870912;11;0.000000;0.000299;4.884608;o;0.050899;0.046194;1.879980;1.032617;2.912598;1.054667;0.808925;4.884294;
0;2147483647;40000000;4000000;10;536.870912;12;0.000000;0.002190;5.263044;o;0.051448;0.040505;2.434553;0.937645;3.373667;0.928796;0.857940;5.260841;
