min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;32766;40000000;40000000;1;0.000819;1;0.000000;0.001452;16.061481;o;0.266452;0.258552;1.814342;4.837440;6.651783;4.431043;4.452142;16.060004;
0;32766;40000000;40000000;1;0.000819;2;0.000000;0.002928;11.849464;o;0.246652;0.132504;1.961260;3.172571;5.133832;3.275475;3.057987;11.846523;
0;32766;40000000;40000000;1;0.000819;3;0.000000;0.004592;8.904531;o;0.260671;0.092872;1.917889;2.437080;4.354971;2.115932;2.075284;8.899926;
0;32766;40000000;40000000;1;0.000819;4;0.000000;0.006315;7.261649;o;0.265320;0.072530;1.620246;2.075031;3.695279;1.641891;1.580129;7.255322;
0;32766;40000000;40000000;1;0.000819;5;0.000000;0.008011;6.154669;o;0.270228;0.058755;1.608109;1.720575;3.328685;1.239171;1.249565;6.146647;
0;32766;40000000;40000000;1;0.000819;6;0.000000;0.009734;5.518894;o;0.273831;0.049070;1.611370;1.545603;3.156974;1.004890;1.024155;5.509137;
0;32766;40000000;40000000;1;0.000819;7;0.000000;0.010623;4.942207;o;0.272636;0.042223;1.486244;1.211792;2.698036;1.063931;0.854522;4.931573;
0;32766;40000000;40000000;1;0.000819;8;0.000000;0.012920;4.539171;o;0.274959;0.036973;1.398359;1.141083;2.539443;0.898534;0.776069;4.526238;
0;32766;40000000;40000000;1;0.000819;9;0.000000;0.014223;4.217389;o;0.290724;0.032898;1.343003;1.070457;2.413461;0.671954;0.793852;4.203153;
0;32766;40000000;40000000;1;0.000819;10;0.000000;0.016473;3.811266;o;0.292341;0.029633;1.251880;1.000325;2.252206;0.622843;0.597402;3.794782;
0;32766;40000000;40000000;1;0.000819;11;0.000000;0.018737;3.646132;o;0.319461;0.027237;1.221058;0.958303;2.179383;0.554730;0.546241;3.627383;
0;32766;40000000;40000000;1;0.000819;12;0.000000;0.019250;3.531962;o;0.320890;0.025371;1.216655;0.924296;2.142435;0.516353;0.507323;3.512701;
0;32766;40000000;40000000;1;0.000819;1;0.000000;0.001417;16.093721;o;0.246297;0.258373;1.813328;4.852711;6.666040;4.472062;4.449487;16.092292;
0;32766;40000000;40000000;1;0.000819;2;0.000000;0.002934;11.872097;o;0.249050;0.132354;1.967546;3.183180;5.150727;3.268513;3.068423;11.869151;
0;32766;40000000;40000000;1;0.000819;3;0.000000;0.004639;8.843168;o;0.260385;0.093353;1.896340;2.413934;4.310275;2.117621;2.056705;8.838516;
0;32766;40000000;40000000;1;0.000819;4;0.000000;0.006092;7.211100;o;0.265151;0.072158;1.780723;1.988342;3.769066;1.580352;1.518116;7.204996;
0;32766;40000000;40000000;1;0.000819;5;0.000000;0.007914;6.190642;o;0.271156;0.058505;1.626050;1.755999;3.382051;1.225667;1.245087;6.182715;
0;32766;40000000;40000000;1;0.000819;6;0.000000;0.009607;5.352796;o;0.272536;0.048825;1.493833;1.543571;3.037406;1.004224;0.980000;5.343175;
0;32766;40000000;40000000;1;0.000819;7;0.000000;0.014350;4.847279;o;0.273605;0.042033;1.434484;1.178846;2.613332;1.040352;0.863345;4.832917;
0;32766;40000000;40000000;1;0.000819;8;0.000000;0.012929;4.586656;o;0.273751;0.037181;1.435062;1.132952;2.568016;0.933964;0.760523;4.573715;
0;32766;40000000;40000000;1;0.000819;9;0.000000;0.013817;4.238255;o;0.288944;0.032817;1.340601;1.068902;2.409503;0.682389;0.810352;4.224427;
0;32766;40000000;40000000;1;0.000819;10;0.000000;0.015571;3.799116;o;0.300766;0.029828;1.248037;0.994777;2.242815;0.606104;0.603671;3.783533;
0;32766;40000000;40000000;1;0.000819;11;0.000000;0.017822;3.607139;o;0.316847;0.027799;1.211468;0.935850;2.147319;0.553741;0.543266;3.589305;
0;32766;40000000;40000000;1;0.000819;12;0.000001;0.020046;3.524051;o;0.322082;0.025071;1.258534;0.882757;2.142784;0.514804;0.498942;3.503993;
0;32766;40000000;40000000;1;0.000819;1;0.000000;0.001501;16.053521;o;0.247791;0.259329;1.812223;4.833810;6.646033;4.415714;4.483107;16.052008;
0;32766;40000000;40000000;1;0.000819;2;0.000000;0.002958;12.238008;o;0.250384;0.133791;2.062791;3.459078;5.521870;3.318256;3.010650;12.235039;
0;32766;40000000;40000000;1;0.000819;3;0.000000;0.004344;9.055301;o;0.259339;0.093449;1.956000;2.430832;4.386833;2.187681;2.123503;9.050946;
0;32766;40000000;40000000;1;0.000819;4;0.000000;0.006367;7.363348;o;0.265796;0.071800;1.683398;2.076915;3.760315;1.648326;1.610558;7.356969;
0;32766;40000000;40000000;1;0.000819;5;0.000000;0.007575;6.148820;o;0.269287;0.058811;1.696908;1.675447;3.372356;1.189670;1.250848;6.141233;
