min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;
0;2147483647;10000000;10000000;1;214.748365;1;0.000000;0.000437;3.495985;o;0.063457;0.062656;1.336809;0.745611;2.082421;0.682781;0.604211;
0;2147483647;10000000;5000000;2;429.496729;1;0.000000;0.000232;3.937990;o;0.021615;0.085938;1.226241;0.776198;2.002440;1.183892;0.643853;
0;2147483647;10000000;3333334;3;644.244965;1;0.000000;0.000217;3.863621;o;0.015552;0.060445;1.208496;0.736670;1.945167;1.185883;0.656336;
0;2147483647;10000000;2500000;4;858.993459;1;0.000001;0.000185;4.007675;o;0.010310;0.056441;1.164250;0.771645;1.935896;1.286928;0.717883;
0;2147483647;10000000;2000000;5;1073.741824;1;0.000000;0.000190;4.203536;o;0.008976;0.057541;1.181971;0.825782;2.007754;1.362765;0.766291;
0;2147483647;10000000;1666667;6;1288.489931;1;0.000001;0.000114;4.251841;o;0.006925;0.057890;1.117189;0.875804;1.992994;1.386176;0.807698;
0;2147483647;10000000;1428572;7;1503.237952;1;0.000000;0.000215;4.525432;o;0.006453;0.060090;1.116427;1.018896;2.135324;1.417154;0.906176;
0;2147483647;10000000;1250000;8;1717.986918;1;0.000000;0.000072;5.182695;o;0.006134;0.057913;1.089297;1.129317;2.218615;1.434220;1.465719;
0;2147483647;10000000;1111112;9;1932.733736;1;0.000000;0.000164;5.142606;o;0.004872;0.057540;1.112871;1.247877;2.360749;1.513641;1.205620;
0;2147483647;10000000;1000000;10;2147.483647;1;0.000000;0.000163;5.001899;o;0.005321;0.057862;1.105459;1.187417;2.292877;1.437038;1.208618;
0;2147483647;10000000;909091;11;2362.231775;1;0.000000;0.000138;4.970523;o;0.003811;0.059209;1.051313;1.201611;2.252925;1.464481;1.189940;
0;2147483647;10000000;833334;12;2576.978315;1;0.000000;0.000157;5.009407;o;0.003729;0.057888;1.051752;1.224614;2.276367;1.450689;1.220558;
0;2147483647;10000000;769231;13;2791.727904;1;0.000000;0.000105;5.508332;o;0.003233;0.059113;1.085158;1.487735;2.572894;1.620512;1.252393;
0;2147483647;10000000;714286;14;3006.475903;1;0.000000;0.000166;5.408875;o;0.004411;0.059587;1.002993;1.238680;2.241674;1.590765;1.512253;
0;2147483647;10000000;666667;15;3221.223860;1;0.000000;0.000141;5.476575;o;0.005144;0.062127;1.133145;1.426955;2.560101;1.569419;1.279621;
0;2147483647;10000000;625000;16;3435.973835;1;0.000000;0.000153;5.390401;o;0.003245;0.056846;1.009510;1.263053;2.272563;1.796641;1.260931;
0;2147483647;10000000;588236;17;3650.717819;1;0.000000;0.000153;5.229672;o;0.002960;0.056014;0.945392;1.250701;2.196094;1.523932;1.450500;
0;2147483647;10000000;555556;18;3865.467472;1;0.000000;0.000295;6.740326;o;0.002829;0.062520;1.039889;1.426343;2.466234;2.359062;1.849364;
0;2147483647;10000000;526316;19;4080.217297;1;0.000000;0.000108;8.307406;o;0.003835;0.065212;1.209768;2.010040;3.219809;3.076878;1.941517;
0;2147483647;10000000;500000;20;4294.967294;1;0.000000;0.000113;6.399484;o;0.003210;0.063116;1.309154;2.204662;3.513817;1.542996;1.276205;
0;2147483647;10000000;476191;21;4509.710698;1;0.000000;0.000092;5.155317;o;0.001975;0.059357;0.866325;1.316291;2.182616;1.518778;1.392478;
0;2147483647;10000000;454546;22;4724.458354;1;0.000000;0.000158;5.015554;o;0.002532;0.056561;0.906682;1.262523;2.169206;1.518006;1.269072;
0;2147483647;10000000;434783;23;4939.207943;1;0.000000;0.000138;5.046525;o;0.002428;0.056745;0.871461;1.312155;2.183617;1.542059;1.261515;
0;2147483647;10000000;416667;24;5153.956630;1;0.000000;0.000120;4.936225;o;0.002240;0.059320;0.866249;1.235796;2.102046;1.521351;1.251130;
0;2147483647;10000000;400000;25;5368.709117;1;0.000000;0.000118;5.164866;o;0.001944;0.057043;0.821947;1.256316;2.078264;1.660352;1.367115;
0;2147483647;10000000;384616;26;5583.448549;1;0.000000;0.000098;4.906914;o;0.002469;0.056775;0.800739;1.249984;2.050724;1.538997;1.257819;
0;2147483647;10000000;370371;27;5798.195990;1;0.000000;0.000083;4.865744;o;0.001703;0.056134;0.780313;1.243279;2.023593;1.542215;1.241997;
0;2147483647;10000000;357143;28;6012.951806;1;0.000000;0.000096;5.356584;o;0.001721;0.056988;0.774465;1.278041;2.052507;1.694884;1.550371;
0;2147483647;10000000;344828;29;6227.695103;1;0.000000;0.000070;4.969081;o;0.001519;0.060078;0.757440;1.271279;2.028720;1.569738;1.308936;
0;2147483647;10000000;333334;30;6442.438056;1;0.000000;0.000050;5.169882;o;0.001418;0.073355;0.825078;1.255627;2.080706;1.762424;1.251910;
0;2147483647;10000000;322581;31;6657.191983;1;0.000000;0.000156;4.897234;o;0.001956;0.057899;0.732436;1.264800;1.997237;1.591899;1.248067;
0;2147483647;10000000;312500;32;6871.947670;1;0.000000;0.000052;4.923220;o;0.001582;0.056451;0.742621;1.249609;1.992232;1.606634;1.266247;
0;2147483647;10000000;303031;33;7086.679736;1;0.000000;0.000122;4.896311;o;0.002198;0.060349;0.707919;1.264941;1.972861;1.601210;1.259540;
0;2147483647;10000000;294118;34;7301.435638;1;0.000000;0.000127;4.906075;o;0.001785;0.057215;0.718171;1.268507;1.986679;1.598630;1.261619;
0;2147483647;10000000;285715;35;7516.173974;1;0.000000;0.000104;5.137382;o;0.001677;0.058708;0.673298;1.283474;1.956773;1.734374;1.385726;
0;2147483647;10000000;277778;36;7730.934944;1;0.000000;0.000114;5.193895;o;0.001615;0.056374;0.726788;1.313624;2.040413;1.634489;1.460869;
0;2147483647;10000000;270271;37;7945.668041;1;0.000000;0.000102;5.469647;o;0.001590;0.063269;0.868361;1.368520;2.236882;1.623489;1.544296;
0;2147483647;10000000;263158;38;8160.434594;1;0.000000;0.000114;4.960710;o;0.002156;0.096367;0.705559;1.248831;1.954390;1.627619;1.280040;
0;2147483647;10000000;256411;39;8375.161935;1;0.000000;0.000101;5.452152;o;0.001417;0.058402;0.840636;1.304357;2.144994;1.758087;1.489131;
0;2147483647;10000000;250000;40;8589.934588;1;0.000000;0.000095;4.881972;o;0.001471;0.058434;0.619837;1.271257;1.891094;1.643939;1.286920;
0;2147483647;10000000;243903;41;8804.662702;1;0.000000;0.000078;4.894901;o;0.001340;0.058880;0.625197;1.271847;1.897045;1.649729;1.287810;
0;2147483647;10000000;238096;42;9019.402455;1;0.000000;0.000093;5.423378;o;0.001308;0.058818;0.724129;1.323512;2.047642;1.894596;1.420902;
0;2147483647;10000000;232559;43;9234.145516;1;0.000037;0.000080;5.102008;o;0.001424;0.058518;0.738845;1.311051;2.049897;1.691763;1.300229;
0;2147483647;10000000;227273;44;9448.916708;1;0.000000;0.000084;5.409434;o;0.001515;0.059941;0.583474;1.257472;1.840947;1.754903;1.752025;
0;2147483647;10000000;10000000;1;214.748365;1;0.000000;0.000336;3.501179;o;0.061825;0.076842;1.298781;0.752354;2.051136;0.698944;0.612078;
0;2147483647;10000000;5000000;2;429.496729;1;0.000000;0.000284;3.599534;o;0.020419;0.082174;1.186427;0.687492;1.873919;0.960531;0.662185;
0;2147483647;10000000;3333334;3;644.244965;1;0.000000;0.000207;4.457683;o;0.014216;0.063746;1.268587;0.800558;2.069146;1.570230;0.740118;
0;2147483647;10000000;2500000;4;858.993459;1;0.000000;0.000188;4.620541;o;0.010434;0.058939;1.309010;0.876531;2.185542;1.505636;0.859783;
0;2147483647;10000000;2000000;5;1073.741824;1;0.000000;0.000270;5.095410;o;0.008658;0.061949;1.282497;0.905959;2.188457;1.620369;1.215687;
0;2147483647;10000000;1666667;6;1288.489931;1;0.000000;0.000126;4.873190;o;0.006677;0.060236;1.342366;0.972280;2.314647;1.638499;0.852984;
0;2147483647;10000000;1428572;7;1503.237952;1;0.000000;0.000159;4.703298;o;0.005815;0.058806;1.107494;1.063163;2.170658;1.453333;1.014508;
0;2147483647;10000000;1250000;8;1717.986918;1;0.000000;0.000108;4.759277;o;0.004868;0.056502;1.065796;1.129490;2.195287;1.439274;1.063220;
0;2147483647;10000000;1111112;9;1932.733736;1;0.000001;0.000182;4.958736;o;0.006469;0.058427;1.098052;1.184370;2.282423;1.464528;1.146662;
0;2147483647;10000000;1000000;10;2147.483647;1;0.000000;0.000183;5.311832;o;0.005575;0.057515;1.051096;1.268407;2.319505;1.669552;1.259483;
0;2147483647;10000000;909091;11;2362.231775;1;0.000000;0.000141;5.745348;o;0.007292;0.068245;1.089225;1.246447;2.335672;1.665112;1.668864;
0;2147483647;10000000;833334;12;2576.978315;1;0.000000;0.000159;5.635781;o;0.003731;0.059210;1.141423;1.308943;2.450368;1.690085;1.432206;
