min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;100000;40000000;40000000;1;0.002500;1;0.000000;0.001602;20.989130;o;0.263084;0.296009;4.016006;5.974770;9.990777;5.437142;5.000469;
0;100000;40000000;10000000;4;0.010000;1;0.000000;0.000556;19.742182;o;0.065548;0.293133;3.225332;5.530851;8.756184;5.484137;5.142582;
0;100000;40000000;5714286;7;0.017500;1;0.000000;0.000450;19.868203;o;0.037466;0.292888;3.268017;5.739845;9.007863;5.488831;5.040659;
0;100000;40000000;4000000;10;0.025000;1;0.000000;0.000273;19.188992;o;0.026435;0.292977;3.502629;5.347074;8.849704;5.168152;4.851404;
0;100000;40000000;3076923;13;0.032500;1;0.000000;0.000230;19.647044;o;0.020411;0.293077;3.327223;5.534087;8.861311;5.395142;5.076828;
0;100000;40000000;2500000;16;0.040000;1;0.000000;0.000276;19.649573;o;0.016617;0.293412;3.269305;5.574449;8.843755;5.416830;5.078636;
0;100000;40000000;2105264;19;0.047500;1;0.000000;0.000264;19.028402;o;0.014197;0.292754;3.127790;5.202194;8.329986;5.260605;5.130550;
0;100000;40000000;1818182;22;0.055000;1;0.000000;0.000218;19.005536;o;0.011855;0.293114;3.306322;5.534483;8.840806;5.106062;4.753436;
0;100000;40000000;1600000;25;0.062500;1;0.000000;0.000258;19.886450;o;0.010694;0.292996;3.818925;5.257969;9.076895;5.415708;5.089851;
0;100000;40000000;1428572;28;0.070000;1;0.000000;0.000216;18.586214;o;0.009626;0.295252;3.126751;5.246145;8.372897;5.151628;4.756547;
0;100000;40000000;1290323;31;0.077500;1;0.000000;0.000193;19.348833;o;0.008493;0.293249;3.110335;5.651426;8.761762;5.370436;4.914654;
0;100000;40000000;1176471;34;0.085000;1;0.000000;0.000213;19.290409;o;0.007846;0.292940;3.301550;5.395743;8.697294;5.165155;5.126914;
0;100000;40000000;1081082;37;0.092500;1;0.000000;0.000134;19.168207;o;0.007592;0.293000;3.301525;5.548579;8.850105;5.132449;4.884881;
0;100000;40000000;1000000;40;0.100000;1;0.000000;0.000189;18.754224;o;0.007283;0.292929;3.137669;5.286589;8.424259;5.267315;4.762200;
0;100000;40000000;930233;43;0.107500;1;0.000000;0.000221;18.298139;o;0.006404;0.293634;3.162965;5.201704;8.364670;4.980759;4.652406;
0;100000;40000000;869566;46;0.115000;1;0.000000;0.000179;18.927560;o;0.005979;0.293338;3.098366;5.492616;8.590983;5.116742;4.920293;
0;100000;40000000;816327;49;0.122500;1;0.000000;0.000251;18.582319;o;0.006184;0.293248;3.116158;5.180903;8.297062;5.238775;4.746754;
0;100000;40000000;769231;52;0.130000;1;0.000000;0.000188;19.363319;o;0.005146;0.293386;3.096962;5.629380;8.726343;5.394505;4.943705;
0;100000;40000000;727273;55;0.137500;1;0.000000;0.000271;19.673732;o;0.005248;0.293008;3.321542;5.640157;8.961700;5.476552;4.936907;
0;100000;40000000;689656;58;0.145000;1;0.000000;0.000240;18.600256;o;0.005021;0.293472;3.200379;5.200115;8.400496;5.140995;4.759986;
0;100000;40000000;655738;61;0.152500;1;0.000000;0.000191;18.519161;o;0.004355;0.292905;3.132269;5.197657;8.329927;5.143029;4.748708;
0;100000;40000000;625000;64;0.160000;1;0.000000;0.000193;18.591411;o;0.004931;0.293162;3.134008;5.222494;8.356503;5.160465;4.776112;
0;100000;40000000;597015;67;0.167500;1;0.000000;0.000282;18.585090;o;0.004555;0.292967;3.126232;5.195874;8.322107;5.144318;4.820814;
0;100000;40000000;571429;70;0.175000;1;0.000000;0.000264;19.385102;o;0.004358;0.293750;3.320779;5.647788;8.968568;5.431508;4.686602;
0;100000;40000000;547946;73;0.182500;1;0.000000;0.000223;19.079024;o;0.004004;0.293127;3.336587;5.533352;8.869940;5.093757;4.817924;
0;100000;40000000;526316;76;0.190000;1;0.000000;0.000198;18.700015;o;0.003696;0.293199;3.166623;5.208315;8.374939;5.159122;4.868814;
0;100000;40000000;506330;79;0.197500;1;0.000000;0.000178;19.145296;o;0.003509;0.293290;3.306803;5.585005;8.891809;5.099772;4.856693;
0;100000;40000000;487805;82;0.205000;1;0.000000;0.000184;19.091454;o;0.003796;0.293236;3.114573;5.320335;8.434909;5.479484;4.879799;
0;100000;40000000;470589;85;0.212500;1;0.000000;0.000163;18.925392;o;0.003709;0.293343;3.174562;5.480865;8.655428;5.211152;4.761551;
0;100000;40000000;454546;88;0.220000;1;0.000000;0.000272;19.309712;o;0.003688;0.293687;3.154008;5.638693;8.792702;5.328655;4.890663;
0;100000;40000000;439561;91;0.227500;1;0.000000;0.000122;18.596076;o;0.003194;0.293419;3.121517;5.233597;8.355115;5.149179;4.795001;
0;100000;40000000;425532;94;0.235000;1;0.000000;0.000235;19.306470;o;0.003375;0.293813;3.157230;5.251532;8.408762;5.389680;5.210561;
0;100000;40000000;412372;97;0.242499;1;0.000000;0.000236;19.425228;o;0.003432;0.293413;3.332687;5.679646;9.012334;5.338710;4.777058;
0;100000;40000000;400000;100;0.250000;1;0.000000;0.000217;19.916444;o;0.003112;0.293689;3.313762;5.666520;8.980282;5.494977;5.144120;
0;100000;40000000;388350;103;0.257500;1;0.000000;0.000214;18.647838;o;0.003372;0.293087;3.176358;5.228297;8.404656;5.163906;4.782558;
0;100000;40000000;377359;106;0.265000;1;0.000000;0.000174;18.594534;o;0.002526;0.293157;3.037888;5.217209;8.255099;5.158329;4.885203;
0;100000;40000000;366973;109;0.272500;1;0.000000;0.000192;19.111509;o;0.003231;0.292900;3.202681;5.650573;8.853256;5.195622;4.766264;
0;100000;40000000;357143;112;0.280000;1;0.000000;0.000175;18.859371;o;0.002964;0.293286;3.090428;5.198465;8.288894;5.308003;4.966002;
0;100000;40000000;347827;115;0.287499;1;0.000000;0.000150;19.250057;o;0.002474;0.293479;2.886387;5.529191;8.415579;5.470027;5.068301;
0;100000;40000000;338984;118;0.294999;1;0.000000;0.000273;18.864864;o;0.002899;0.293832;2.911271;5.446870;8.358143;5.191877;5.017794;
0;100000;40000000;330579;121;0.302500;1;0.000000;0.000268;18.586602;o;0.002850;0.293507;2.891812;5.213343;8.105155;5.394018;4.790758;
0;100000;40000000;322581;124;0.310000;1;0.000000;0.000137;18.935867;o;0.002321;0.293565;2.811246;5.231613;8.042860;5.468205;5.128734;
0;100000;40000000;314961;127;0.317500;1;0.000000;0.000246;18.536366;o;0.002564;0.292957;2.984773;5.211182;8.195956;5.243721;4.800877;
0;100000;40000000;307693;130;0.324999;1;0.000000;0.000237;18.589668;o;0.002407;0.293582;2.944398;5.230463;8.174862;5.333236;4.785294;
0;100000;40000000;300752;133;0.332500;1;0.000000;0.000108;19.216143;o;0.002230;0.293237;2.756072;5.547631;8.303703;5.469374;5.147448;
0;100000;40000000;294118;136;0.340000;1;0.000000;0.000232;18.473686;o;0.002438;0.293543;2.847938;5.299822;8.147761;5.108961;4.920702;
0;100000;40000000;287770;139;0.347500;1;0.000000;0.000227;18.363781;o;0.002446;0.293510;2.874832;5.344672;8.219505;5.114688;4.733360;
0;100000;40000000;281691;142;0.354999;1;0.000000;0.000093;17.965063;o;0.002348;0.292939;2.620488;5.186372;7.806861;5.131908;4.730869;
0;100000;40000000;275863;145;0.362499;1;0.000000;0.000193;18.417687;o;0.001881;0.292956;2.691411;5.191110;7.882522;5.133084;5.107005;
0;100000;40000000;270271;148;0.369999;1;0.000000;0.000206;18.954962;o;0.002082;0.293751;2.801062;5.365134;8.166197;5.482261;5.010421;
0;100000;40000000;264901;151;0.377500;1;0.000000;0.000201;18.303263;o;0.002354;0.293110;2.625434;5.297494;7.922930;5.357894;4.726728;
0;100000;40000000;259741;154;0.384999;1;0.000000;0.000185;18.547885;o;0.002419;0.293136;2.594917;5.489429;8.084347;5.227486;4.940267;
0;100000;40000000;254778;157;0.392499;1;0.000000;0.000220;18.932615;o;0.002517;0.293083;2.671678;5.588097;8.259776;5.265968;5.111006;
0;100000;40000000;250000;160;0.400000;1;0.000000;0.000199;18.558337;o;0.002500;0.293142;2.731655;5.551969;8.283625;5.223335;4.755488;
0;100000;40000000;245399;163;0.407500;1;0.000000;0.000297;18.576471;o;0.002133;0.293178;2.531084;5.484747;8.015832;5.458108;4.806878;
0;100000;40000000;240964;166;0.415000;1;0.000000;0.000181;18.541648;o;0.002226;0.293349;2.510661;5.548215;8.058876;5.404534;4.782435;
0;100000;40000000;236687;169;0.422499;1;0.000000;0.000177;18.157433;o;0.002026;0.294721;2.451899;5.122219;7.574119;5.313043;4.973301;
0;100000;40000000;232559;172;0.429998;1;0.000000;0.000170;18.473251;o;0.001969;0.293205;2.558272;5.176765;7.735039;5.328387;5.114433;
0;100000;40000000;228572;175;0.437499;1;0.000000;0.000151;17.893132;o;0.001671;0.293471;2.518548;5.179241;7.697790;5.157518;4.742485;
0;100000;40000000;224720;178;0.444998;1;0.000000;0.000177;18.411543;o;0.002133;0.292957;2.421623;5.307781;7.729405;5.130423;5.256406;
0;100000;40000000;220995;181;0.452499;1;0.000000;0.000277;18.517551;o;0.002014;0.293065;2.505401;5.377524;7.882926;5.222204;5.117021;
0;100000;40000000;217392;184;0.459999;1;0.000000;0.000141;18.146645;o;0.001607;0.293516;2.518877;5.439070;7.957948;5.141501;4.751887;
0;100000;40000000;213904;187;0.467499;1;0.000000;0.000142;17.947129;o;0.001612;0.293398;2.343899;5.338739;7.682639;5.144349;4.824946;
0;100000;40000000;210527;190;0.474998;1;0.000000;0.000149;17.947065;o;0.001972;0.292907;2.374274;5.305625;7.679900;5.144030;4.828066;
0;100000;40000000;207254;193;0.482500;1;0.000000;0.000133;18.344395;o;0.001541;0.293086;2.321430;5.684163;8.005595;5.195322;4.848676;
0;100000;40000000;204082;196;0.489999;1;0.000000;0.000271;18.269629;o;0.001929;0.292840;2.376635;5.428098;7.804734;5.143378;5.026435;
0;100000;40000000;201006;199;0.497498;1;0.000000;0.000129;17.957016;o;0.001508;0.293067;2.257207;5.311556;7.568764;5.205194;4.888313;
0;100000;40000000;198020;202;0.504999;1;0.000000;0.000147;17.892912;o;0.001935;0.292865;2.294734;5.257986;7.552721;5.215161;4.830040;
0;100000;40000000;195122;205;0.512500;1;0.000000;0.000129;18.178820;o;0.001732;0.293155;2.265285;5.435701;7.700987;5.205530;4.977243;
0;100000;40000000;192308;208;0.519999;1;0.000000;0.000122;18.102996;o;0.001495;0.293331;2.252120;5.416567;7.668688;5.198253;4.941062;
0;100000;40000000;189574;211;0.527498;1;0.000000;0.000264;17.842330;o;0.001839;0.293367;2.297228;5.232239;7.529467;5.189110;4.828241;
0;100000;40000000;186916;214;0.535000;1;0.000000;0.000122;18.146244;o;0.001685;0.293285;2.234866;5.275294;7.510161;5.411341;4.929606;
0;100000;40000000;184332;217;0.542499;1;0.000000;0.000258;17.899228;o;0.002099;0.293404;2.322866;5.261811;7.584678;5.188056;4.830691;
0;100000;40000000;181819;220;0.549998;1;0.000000;0.000229;17.782631;o;0.001421;0.293108;2.223042;5.239433;7.462476;5.200773;4.824582;
0;100000;40000000;179373;223;0.557498;1;0.000000;0.000226;18.323413;o;0.001371;0.293033;2.229396;5.512458;7.741856;5.297862;4.989020;
0;100000;40000000;176992;226;0.564997;1;0.000000;0.000108;17.826245;o;0.001479;0.293062;2.174443;5.249291;7.423736;5.278318;4.829501;
0;100000;40000000;174673;229;0.572498;1;0.000000;0.000248;18.217763;o;0.001943;0.293125;2.325097;5.583569;7.908667;5.125197;4.888541;
0;100000;40000000;172414;232;0.579999;1;0.000000;0.000110;18.406434;o;0.001664;0.292980;2.173478;5.266875;7.440354;5.476042;5.195241;
