min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;2147483647;50000000;50000000;1;42.949673;1;0.000000;0.002381;19.762313;o;0.344232;0.354892;5.948931;4.994456;10.943388;4.405802;3.711570;19.759919;
0;2147483647;50000000;25000000;2;85.899346;1;0.000000;0.000999;18.916236;o;0.180036;0.381660;6.280212;3.828523;10.108736;5.428366;2.816392;18.915224;
0;2147483647;50000000;16666667;3;128.849016;1;0.000000;0.000845;21.994817;o;0.114068;0.354881;5.918034;3.874838;9.792873;7.315589;4.416517;21.993960;
0;2147483647;50000000;12500000;4;171.798692;1;0.000000;0.000704;22.129535;o;0.088397;0.374435;6.426651;4.675467;11.102119;7.108252;3.455581;22.128818;
0;2147483647;50000000;10000000;5;214.748365;1;0.000000;0.000605;22.581618;o;0.069287;0.353960;5.838198;3.834628;9.672827;8.347742;4.137011;22.581000;
0;2147483647;50000000;8333334;6;257.698017;1;0.000000;0.000525;20.956965;o;0.059581;0.365251;6.153191;3.905347;10.058540;6.890134;3.582886;20.956427;
0;2147483647;50000000;7142857;7;300.647717;1;0.000000;0.000518;22.868107;o;0.047074;0.333841;5.596149;3.744886;9.341037;8.267930;4.877659;22.867576;
0;2147483647;50000000;6250000;8;343.597384;1;0.000000;0.000333;21.582087;o;0.044531;0.366094;6.027498;4.112703;10.140202;6.992409;4.038467;21.581738;
0;2147483647;50000000;5555556;9;386.547026;1;0.000000;0.000475;24.894998;o;0.037299;0.335951;5.390628;4.105111;9.495740;8.919283;6.106206;24.894513;
0;2147483647;50000000;5000000;10;429.496729;1;0.000000;0.000403;22.124054;o;0.035178;0.355342;5.604661;4.754349;10.359011;6.957996;4.416077;22.123640;
0;2147483647;50000000;4545455;11;472.446355;1;0.000000;0.000467;26.924701;o;0.030591;0.336170;5.356781;6.828451;12.185233;8.969901;5.402295;26.924223;
0;2147483647;50000000;4166667;12;515.396034;1;0.000000;0.000321;22.349822;o;0.028030;0.334880;5.416586;4.934098;10.350685;6.777283;4.858581;22.349489;
0;2147483647;50000000;3846154;13;558.345726;1;0.000000;0.000416;26.514686;o;0.026603;0.340254;6.224163;7.125753;13.349918;7.672324;5.125123;26.514258;
0;2147483647;50000000;3571429;14;601.295349;1;0.000000;0.000237;26.625500;o;0.024049;0.333267;5.266256;5.112749;10.379006;7.920639;7.968260;26.625252;
0;2147483647;50000000;3333334;15;644.244965;1;0.000000;0.000398;24.710453;o;0.024902;0.386126;6.213193;5.512434;11.725629;7.244447;5.328900;24.710039;
0;2147483647;50000000;3125000;16;687.194767;1;0.000000;0.000420;24.314958;o;0.021107;0.345072;5.304001;5.322525;10.626527;7.933891;5.387897;24.314526;
0;2147483647;50000000;2941177;17;730.144309;1;0.000000;0.000237;23.701634;o;0.019612;0.335545;5.110765;5.613088;10.723855;7.429749;5.192594;23.701384;
0;2147483647;50000000;2777778;18;773.094051;1;0.000000;0.000323;23.341938;o;0.019150;0.335548;4.989592;5.379062;10.368655;6.773989;5.844228;23.341603;
0;2147483647;50000000;2631579;19;816.043770;1;0.000000;0.000322;26.896894;o;0.018431;0.336265;5.085496;6.970324;12.055822;8.056665;6.429343;26.896560;
0;2147483647;50000000;2500000;20;858.993459;1;0.000000;0.000338;27.011850;o;0.017563;0.337202;5.776862;5.907664;11.684528;7.799775;7.172394;27.011501;
0;2147483647;50000000;2380953;21;901.942897;1;0.000000;0.000206;27.757113;o;0.015972;0.338661;5.953091;7.529129;13.482221;7.292468;6.627416;27.756896;
0;2147483647;50000000;2272728;22;944.892502;1;0.000000;0.000323;25.451219;o;0.016639;0.366221;5.626298;6.481574;12.107874;7.533423;5.426692;25.450882;
0;2147483647;50000000;2173913;23;987.842497;1;0.000000;0.000393;27.492358;o;0.015131;0.332797;4.953820;5.679126;10.632946;8.893084;7.617964;27.491954;
0;2147483647;50000000;2083334;24;1030.791821;1;0.000000;0.000379;24.397644;o;0.014815;0.354093;5.228221;6.075892;11.304114;7.155129;5.569066;24.397252;
0;2147483647;50000000;2000000;25;1073.741824;1;0.000000;0.000318;28.494958;o;0.013652;0.334930;4.752896;7.546843;12.299740;9.622888;6.223377;28.494628;
0;2147483647;50000000;1923077;26;1116.691452;1;0.000000;0.000351;23.929621;o;0.013458;0.335168;5.046973;5.928524;10.975498;7.227997;5.377106;23.929258;
0;2147483647;50000000;1851852;27;1159.641077;1;0.000000;0.000332;28.437527;o;0.014181;0.344798;6.073625;8.210741;14.284368;7.826605;5.967194;28.437181;
0;2147483647;50000000;1785715;28;1202.590361;1;0.000000;0.000379;27.690779;o;0.012821;0.338779;4.860498;5.848275;10.708775;8.541177;8.088794;27.690378;
0;2147483647;50000000;1724138;29;1245.540465;1;0.000000;0.000243;24.944749;o;0.012411;0.357780;5.270400;6.434781;11.705182;7.372657;5.496429;24.944492;
0;2147483647;50000000;1666667;30;1288.489931;1;0.000000;0.000228;29.024127;o;0.011537;0.335212;4.594203;8.204881;12.799084;9.945356;5.932663;29.023888;
0;2147483647;50000000;1612904;31;1331.439222;1;0.000000;0.000348;25.895433;o;0.011515;0.337371;4.698263;6.193126;10.891390;7.342035;7.312725;25.895072;
0;2147483647;50000000;1562500;32;1374.389534;1;0.000000;0.000216;27.195326;o;0.011232;0.365755;5.737339;7.341416;13.078756;7.918514;5.820807;27.195098;
0;2147483647;50000000;1515152;33;1417.338753;1;0.000000;0.000366;28.964121;o;0.011283;0.340420;4.515846;6.008924;10.524771;10.191388;7.895846;28.963742;
0;2147483647;50000000;1470589;34;1460.288121;1;0.000000;0.000251;26.224709;o;0.010167;0.349662;5.225276;6.880526;12.105803;8.211556;5.547225;26.224446;
