min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;100000;50000000;2500000;20;0.040000;1;0.000000;0.000258;19.163572;o;0.017261;0.320999;2.466986;5.738749;8.205736;5.392837;5.226438;
0;100000;50000000;2500000;20;0.040000;2;0.000000;0.000278;14.607492;o;0.017058;0.166148;2.592380;3.708389;6.300770;4.195898;3.927118;
0;100000;50000000;2500000;20;0.040000;3;0.000000;0.000329;11.139458;o;0.019319;0.119664;2.600947;2.937773;5.538722;2.742642;2.718630;
0;100000;50000000;2500000;20;0.040000;4;0.000000;0.000382;8.876313;o;0.019196;0.091418;2.465587;2.160493;4.626081;2.068886;2.070159;
0;100000;50000000;2500000;20;0.040000;5;0.000000;0.000315;7.649020;o;0.019354;0.074760;2.401446;1.779340;4.180787;1.688209;1.685433;
0;100000;50000000;2500000;20;0.040000;6;0.000000;0.000347;6.630348;o;0.020721;0.062977;2.210311;1.575021;3.785333;1.384597;1.376186;
0;100000;50000000;2500000;20;0.040000;7;0.000000;0.000295;5.967077;o;0.020395;0.053551;2.133518;1.407063;3.540582;1.197406;1.154551;
0;100000;50000000;2500000;20;0.040000;8;0.000000;0.000370;5.432133;o;0.021994;0.047292;2.028235;1.257662;3.285899;1.057126;1.019273;
0;100000;50000000;2500000;20;0.040000;9;0.000000;0.000363;5.018819;o;0.023509;0.042341;1.915519;1.174220;3.091234;0.945486;0.915624;
0;100000;50000000;2500000;20;0.040000;10;0.000000;0.000346;4.634749;o;0.025250;0.038744;1.858880;1.056865;2.915746;0.843145;0.811114;
0;100000;50000000;2500000;20;0.040000;11;0.000000;0.000328;4.398830;o;0.026136;0.035355;1.821375;1.003173;2.826068;0.768710;0.741752;
0;100000;50000000;2500000;20;0.040000;12;0.000000;0.000373;4.086288;o;0.027985;0.032931;1.734246;0.901301;2.635557;0.727854;0.661241;
0;100000;50000000;2500000;20;0.040000;1;0.000000;0.000237;19.179545;o;0.016617;0.329281;2.476309;5.736506;8.212815;5.393180;5.227369;
0;100000;50000000;2500000;20;0.040000;2;0.000000;0.000125;14.698551;o;0.017746;0.167078;2.606432;3.825522;6.431955;4.109128;3.972373;
0;100000;50000000;2500000;20;0.040000;3;0.000000;0.000348;11.275461;o;0.019301;0.118621;2.583844;2.973947;5.557793;2.781641;2.797627;
0;100000;50000000;2500000;20;0.040000;4;0.000000;0.000349;8.940139;o;0.019994;0.091357;2.457975;2.167088;4.625064;2.087058;2.116097;
0;100000;50000000;2500000;20;0.040000;5;0.000000;0.000375;7.607739;o;0.019779;0.075033;2.392720;1.803271;4.195992;1.653817;1.662599;
0;100000;50000000;2500000;20;0.040000;6;0.000000;0.000952;6.596216;o;0.020986;0.062685;2.195728;1.560874;3.756603;1.383018;1.371831;
0;100000;50000000;2500000;20;0.040000;7;0.000000;0.000881;5.931534;o;0.020664;0.054089;2.147814;1.379490;3.527306;1.190615;1.137742;
0;100000;50000000;2500000;20;0.040000;8;0.000000;0.000369;5.501857;o;0.023179;0.047426;2.009062;1.263251;3.272314;1.081417;1.076893;
0;100000;50000000;2500000;20;0.040000;9;0.000000;0.001448;5.033501;o;0.024407;0.042042;1.955752;1.173382;3.129136;0.926169;0.909975;
0;100000;50000000;2500000;20;0.040000;10;0.000000;0.000339;4.650008;o;0.023637;0.038189;1.853927;1.057580;2.911508;0.865780;0.810339;
0;100000;50000000;2500000;20;0.040000;11;0.000000;0.000344;4.373118;o;0.025281;0.035662;1.806077;0.969498;2.775610;0.790470;0.745447;
0;100000;50000000;2500000;20;0.040000;12;0.000000;0.000349;4.011770;o;0.021181;0.031315;1.717335;0.890955;2.608318;0.686594;0.663678;
0;100000;50000000;2500000;20;0.040000;1;0.000000;0.000321;19.409143;o;0.018623;0.332130;2.547515;5.784626;8.332142;5.463930;5.261950;
0;100000;50000000;2500000;20;0.040000;2;0.000000;0.000310;14.703745;o;0.018049;0.166046;2.585398;3.852247;6.437647;4.009503;4.072076;
0;100000;50000000;2500000;20;0.040000;3;0.000000;0.000302;11.083969;o;0.019558;0.119937;2.587040;2.895422;5.482464;2.707380;2.754156;
0;100000;50000000;2500000;20;0.040000;4;0.000000;0.000361;8.917721;o;0.019975;0.091680;2.489646;2.219044;4.708691;2.042590;2.054270;
0;100000;50000000;2500000;20;0.040000;5;0.000000;0.000289;7.689586;o;0.019774;0.074658;2.388978;1.836009;4.224988;1.704421;1.665272;
0;100000;50000000;2500000;20;0.040000;6;0.000000;0.000943;6.731622;o;0.020760;0.062700;2.201360;1.556373;3.757735;1.479066;1.410155;
0;100000;50000000;2500000;20;0.040000;7;0.000000;0.000284;5.979368;o;0.021441;0.054085;2.176008;1.416067;3.592076;1.170252;1.140959;
0;100000;50000000;2500000;20;0.040000;8;0.000000;0.000359;5.454960;o;0.022576;0.047093;2.021901;1.288465;3.310367;1.051633;1.022687;
0;100000;50000000;2500000;20;0.040000;9;0.000000;0.000404;5.054100;o;0.023612;0.042233;1.977271;1.188329;3.165601;0.919965;0.901973;
0;100000;50000000;2500000;20;0.040000;10;0.000000;0.000331;4.631703;o;0.026143;0.038332;1.840310;1.047168;2.887480;0.867348;0.811787;
0;100000;50000000;2500000;20;0.040000;11;0.000000;0.000401;4.433001;o;0.027306;0.034851;1.861870;1.002666;2.866002;0.772303;0.731804;
0;100000;50000000;2500000;20;0.040000;12;0.000000;0.000150;4.162973;o;0.026889;0.032502;1.728689;0.942760;2.672940;0.737687;0.692413;
0;100000;50000000;2500000;20;0.040000;1;0.000000;0.000257;19.370394;o;0.017796;0.332560;2.558583;5.770111;8.328694;5.427107;5.263934;
0;100000;50000000;2500000;20;0.040000;2;0.000000;0.000280;14.738389;o;0.018642;0.172554;2.636912;3.897119;6.534032;4.041938;3.970828;
0;100000;50000000;2500000;20;0.040000;3;0.000000;0.000934;10.998017;o;0.019663;0.118614;2.597556;2.860480;5.458037;2.683606;2.717037;
0;100000;50000000;2500000;20;0.040000;4;0.000000;0.000352;8.890744;o;0.020271;0.091402;2.510970;2.183888;4.694860;2.053541;2.030105;
