min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;2147483647;4167000;4167000;1;515.354847;1;0.000000;0.000281;1.145285;o;0.027187;0.027111;0.416938;0.251521;0.668460;0.226156;0.196053;&lf;
0;2147483647;8334000;8334000;1;257.677423;2;0.000000;0.000723;1.505552;o;0.051064;0.027662;0.651207;0.310542;0.961750;0.238378;0.225890;&lf;
0;2147483647;12501000;12501000;1;171.784949;3;0.000000;0.001649;1.651727;o;0.079544;0.028721;0.686085;0.385616;1.071702;0.259018;0.210928;&lf;
0;2147483647;16668000;16668000;1;128.838712;4;0.000000;0.002712;1.813660;o;0.108898;0.030425;0.730433;0.463895;1.194330;0.252071;0.225071;&lf;
0;2147483647;20835000;20835000;1;103.070969;5;0.000000;0.004223;2.004555;o;0.147499;0.030921;0.775715;0.519280;1.294997;0.268987;0.257750;&lf;
0;2147483647;25002000;25002000;1;85.892474;6;0.000000;0.005941;2.229855;o;0.195019;0.031383;0.828029;0.556357;1.384387;0.307450;0.305425;&lf;
0;2147483647;29169000;29169000;1;73.622121;7;0.000000;0.009421;3.383159;o;0.227239;0.030289;1.193613;0.952583;2.146197;0.534159;0.432725;&lf;
0;2147483647;33336000;33336000;1;64.419356;8;0.000000;0.010464;3.683082;o;0.286743;0.031933;1.371639;1.123607;2.495247;0.494658;0.360847;&lf;
0;2147483647;37503000;37503000;1;57.261650;9;0.000000;0.013777;3.885193;o;0.362709;0.031162;1.491757;1.209200;2.700958;0.343203;0.430125;&lf;
0;2147483647;41670000;41670000;1;51.535485;10;0.000000;0.016973;3.989239;o;0.362266;0.030953;1.610219;1.241202;2.851423;0.360319;0.364075;&lf;
0;2147483647;45837000;45837000;1;46.850441;11;0.000000;0.023941;4.100823;o;0.399094;0.030747;1.633563;1.320832;2.954418;0.347663;0.341713;&lf;
0;2147483647;50004000;50004000;1;42.946237;12;0.000000;0.025147;5.283077;o;0.551879;0.049326;2.501845;1.380451;3.883751;0.378176;0.387113;&lf;
0;2147483647;4167000;4167000;1;515.354847;1;0.000000;0.000276;1.143661;o;0.026078;0.026819;0.416841;0.252191;0.669033;0.225964;0.195453;&lf;
0;2147483647;8334000;8334000;1;257.677423;2;0.000000;0.000856;1.502955;o;0.051406;0.027380;0.653271;0.310677;0.963949;0.240105;0.219175;&lf;
0;2147483647;12501000;12501000;1;171.784949;3;0.000000;0.001675;1.680379;o;0.079997;0.029027;0.703814;0.390268;1.094083;0.261083;0.214413;&lf;
0;2147483647;16668000;16668000;1;128.838712;4;0.000000;0.002850;1.842697;o;0.110781;0.030174;0.748794;0.466935;1.215731;0.254982;0.228026;&lf;
0;2147483647;20835000;20835000;1;103.070969;5;0.000000;0.004298;2.000888;o;0.146057;0.030513;0.789489;0.535168;1.324658;0.259341;0.235873;&lf;
0;2147483647;25002000;25002000;1;85.892474;6;0.000000;0.006096;2.172629;o;0.193777;0.030739;0.837986;0.604142;1.442129;0.263276;0.236360;&lf;
0;2147483647;29169000;29169000;1;73.622121;7;0.000000;0.008277;3.244565;o;0.251148;0.031586;1.192448;0.967801;2.160250;0.438682;0.350686;&lf;
0;2147483647;33336000;33336000;1;64.419356;8;0.000000;0.011036;3.561042;o;0.268555;0.030839;1.352065;1.104212;2.456278;0.429989;0.359725;&lf;
0;2147483647;37503000;37503000;1;57.261650;9;0.000000;0.015938;4.039287;o;0.354097;0.031309;1.508897;1.198792;2.718745;0.418571;0.494551;&lf;
0;2147483647;41670000;41670000;1;51.535485;10;0.000000;0.016897;3.944677;o;0.370052;0.030683;1.551422;1.246197;2.797621;0.365448;0.360733;&lf;
0;2147483647;45837000;45837000;1;46.850441;11;0.000000;0.023409;4.129872;o;0.386521;0.031351;1.642690;1.360880;3.005033;0.342169;0.336608;&lf;
0;2147483647;50004000;50004000;1;42.946237;12;0.000000;0.024986;4.497601;o;0.539707;0.031453;1.794747;1.410432;3.205180;0.362300;0.330644;&lf;
0;2147483647;4167000;4167000;1;515.354847;1;0.000000;0.000288;1.143121;o;0.025544;0.026612;0.417474;0.251190;0.668664;0.226273;0.195703;&lf;
0;2147483647;8334000;8334000;1;257.677423;2;0.000000;0.000731;1.506778;o;0.051134;0.027563;0.654414;0.312394;0.966809;0.239325;0.221135;&lf;
0;2147483647;12501000;12501000;1;171.784949;3;0.000000;0.001708;1.675805;o;0.079945;0.028801;0.704189;0.390049;1.094239;0.259199;0.211765;&lf;
0;2147483647;16668000;16668000;1;128.838712;4;0.000000;0.002765;1.846179;o;0.108215;0.030058;0.753267;0.462232;1.215501;0.258111;0.231402;&lf;
0;2147483647;20835000;20835000;1;103.070969;5;0.000000;0.004275;2.026945;o;0.148028;0.030891;0.795311;0.524167;1.319480;0.268201;0.254417;&lf;
0;2147483647;25002000;25002000;1;85.892474;6;0.000000;0.006147;2.178096;o;0.193735;0.030813;0.837720;0.592245;1.429966;0.268656;0.248533;&lf;
0;2147483647;29169000;29169000;1;73.622121;7;0.000000;0.010105;3.371705;o;0.263232;0.031369;1.350873;0.973351;2.324226;0.390449;0.336377;&lf;
