min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;2147483647;4167000;208350;20;10307.096938;1;0.000000;0.000152;1.505757;o;0.001681;0.030699;0.203232;0.386868;0.590102;0.489892;0.393192;1.505592;
0;2147483647;8334000;416700;20;5153.548469;2;0.000000;0.000217;1.907789;o;0.003458;0.031298;0.485975;0.400713;0.886689;0.554359;0.431679;1.907560;
0;2147483647;12501000;625050;20;3435.698979;3;0.000000;0.000321;2.037343;o;0.005265;0.031323;0.614673;0.398108;1.012782;0.556055;0.431492;2.037009;
0;2147483647;16668000;833400;20;2576.774234;4;0.000000;0.000276;2.124447;o;0.006861;0.031691;0.685527;0.390898;1.076426;0.561590;0.447484;2.124158;
0;2147483647;20835000;1041750;20;2061.419388;5;0.000000;0.000204;2.199236;o;0.008236;0.031689;0.746658;0.390567;1.137226;0.579711;0.442027;2.199018;
0;2147483647;25002000;1250100;20;1717.849490;6;0.000000;0.000306;2.284779;o;0.010737;0.031565;0.809097;0.390409;1.199507;0.594069;0.448441;2.284460;
0;2147483647;29169000;1458450;20;1472.442420;7;0.000000;0.000281;3.440883;o;0.012464;0.031524;1.113341;0.738130;1.851473;0.856311;0.686479;3.440589;
0;2147483647;33336000;1666800;20;1288.387117;8;0.000000;0.000250;3.734746;o;0.013823;0.031571;1.277526;0.926041;2.203568;0.790699;0.691677;3.734481;
0;2147483647;37503000;1875150;20;1145.232993;9;0.000000;0.000203;4.241128;o;0.028593;0.055608;1.867262;0.766761;2.635577;0.805266;0.709526;4.240911;
0;2147483647;41670000;2083500;20;1030.709694;10;0.000000;0.000319;4.669997;o;0.032483;0.045795;2.076730;0.991886;3.070150;0.787893;0.713469;4.669664;
0;2147483647;45837000;2291850;20;937.008813;11;0.000000;0.000221;4.025708;o;0.030932;0.032045;1.627594;0.821984;2.449579;0.811074;0.698505;4.025473;
0;2147483647;50004000;2500200;20;858.924745;12;0.000000;0.000174;4.266730;o;0.032621;0.031842;1.806496;0.867497;2.673994;0.829081;0.694816;4.266543;
0;2147483647;4167000;208350;20;10307.096938;1;0.000000;0.000302;1.514782;o;0.002288;0.031011;0.212438;0.387340;0.599780;0.488260;0.393100;1.514466;
0;2147483647;8334000;416700;20;5153.548469;2;0.000000;0.000241;1.887021;o;0.003501;0.031825;0.463290;0.399767;0.863058;0.556819;0.431479;1.886767;
0;2147483647;12501000;625050;20;3435.698979;3;0.000000;0.000347;2.054326;o;0.005604;0.031301;0.630888;0.399042;1.029931;0.555789;0.431254;2.053966;
0;2147483647;16668000;833400;20;2576.774234;4;0.000000;0.000313;2.148632;o;0.006509;0.031611;0.711922;0.390911;1.102833;0.571009;0.436230;2.148307;
0;2147483647;20835000;1041750;20;2061.419388;5;0.000000;0.000247;2.231466;o;0.008218;0.031599;0.765524;0.392011;1.157536;0.582565;0.451162;2.231206;
0;2147483647;25002000;1250100;20;1717.849490;6;0.000000;0.000326;2.355611;o;0.010758;0.031752;0.876920;0.399229;1.276151;0.583931;0.452512;2.355272;
0;2147483647;29169000;1458450;20;1472.442420;7;0.000000;0.000882;3.354756;o;0.012296;0.031472;1.130805;0.639408;1.770215;0.864787;0.672585;3.353860;
0;2147483647;33336000;1666800;20;1288.387117;8;0.000000;0.000395;3.714628;o;0.014467;0.031173;1.297270;0.906534;2.203805;0.774364;0.687277;3.714220;
0;2147483647;37503000;1875150;20;1145.232993;9;0.000000;0.000373;3.793421;o;0.017849;0.031699;1.423248;0.793818;2.217069;0.820840;0.702305;3.793030;
0;2147483647;41670000;2083500;20;1030.709694;10;0.000000;0.000302;4.833228;o;0.034273;0.058090;2.149184;0.982862;3.133615;0.835037;0.766435;4.832913;
0;2147483647;45837000;2291850;20;937.008813;11;0.000000;0.000419;4.360334;o;0.038589;0.048617;1.894988;0.830227;2.725216;0.823943;0.704638;4.359901;
0;2147483647;50004000;2500200;20;858.924745;12;0.000000;0.000167;5.058916;o;0.049735;0.066590;2.499084;0.861621;3.362968;0.857491;0.716452;5.058735;
0;2147483647;4167000;208350;20;10307.096938;1;0.000000;0.000156;1.523267;o;0.001747;0.030961;0.214850;0.388179;0.603029;0.491964;0.395369;1.523098;
0;2147483647;8334000;416700;20;5153.548469;2;0.000000;0.000244;1.891041;o;0.003480;0.031504;0.466920;0.401571;0.868492;0.555730;0.431497;1.890783;
0;2147483647;12501000;625050;20;3435.698979;3;0.000000;0.000185;2.060558;o;0.004765;0.031300;0.633525;0.401661;1.035187;0.557712;0.431312;2.060360;
0;2147483647;16668000;833400;20;2576.774234;4;0.000000;0.000128;2.159056;o;0.006177;0.031903;0.711194;0.392816;1.104011;0.574161;0.442552;2.158915;
0;2147483647;20835000;1041750;20;2061.419388;5;0.000000;0.000228;2.230145;o;0.007993;0.031689;0.766312;0.390734;1.157047;0.582170;0.450879;2.229903;
0;2147483647;25002000;1250100;20;1717.849490;6;0.000000;0.000226;2.307708;o;0.010496;0.032043;0.827808;0.391106;1.218916;0.592680;0.453186;2.307468;
0;2147483647;29169000;1458450;20;1472.442420;7;0.000000;0.000869;3.366024;o;0.011968;0.031362;1.130534;0.644684;1.775219;0.864708;0.679400;3.365142;
0;2147483647;33336000;1666800;20;1288.387117;8;0.000000;0.000414;3.711752;o;0.014787;0.031558;1.309753;0.875488;2.185242;0.783008;0.693548;3.711326;
0;2147483647;37503000;1875150;20;1145.232993;9;0.000000;0.000356;4.162887;o;0.027216;0.043042;1.733767;0.833108;2.566876;0.812511;0.695125;4.162518;
0;2147483647;41670000;2083500;20;1030.709694;10;0.000000;0.000290;3.961981;o;0.026277;0.032013;1.551796;0.830927;2.382724;0.807370;0.709943;3.961677;
0;2147483647;45837000;2291850;20;937.008813;11;0.000000;0.000227;4.242780;o;0.037111;0.062966;1.801885;0.833162;2.635048;0.807621;0.694833;4.242540;
0;2147483647;50004000;2500200;20;858.924745;12;0.000000;0.000341;4.132010;o;0.028862;0.031706;1.688444;0.847465;2.535910;0.829806;0.702028;4.131655;
0;2147483647;4167000;208350;20;10307.096938;1;0.000000;0.000283;1.514020;o;0.001851;0.031577;0.210050;0.387390;0.597441;0.489298;0.393528;1.513723;
0;2147483647;8334000;416700;20;5153.548469;2;0.000000;0.000247;1.908444;o;0.003521;0.031627;0.484804;0.401250;0.886055;0.555072;0.431829;1.908184;
0;2147483647;12501000;625050;20;3435.698979;3;0.000000;0.000260;2.044271;o;0.004714;0.031641;0.615002;0.398798;1.013801;0.560104;0.433639;2.043995;
0;2147483647;16668000;833400;20;2576.774234;4;0.000000;0.000301;2.123251;o;0.006802;0.031298;0.683974;0.390083;1.074058;0.561369;0.449304;2.122937;
0;2147483647;20835000;1041750;20;2061.419388;5;0.000000;0.000233;2.205426;o;0.008626;0.031469;0.746805;0.391611;1.138417;0.579288;0.447258;2.205180;
0;2147483647;25002000;1250100;20;1717.849490;6;0.000000;0.000328;2.287756;o;0.010701;0.031695;0.810024;0.390765;1.200790;0.594191;0.449916;2.287414;
0;2147483647;29169000;1458450;20;1472.442420;7;0.000000;0.000840;3.453337;o;0.012360;0.031366;1.119425;0.798182;1.917608;0.812304;0.677364;3.452485;
0;2147483647;33336000;1666800;20;1288.387117;8;0.000000;0.000240;3.709961;o;0.015847;0.031819;1.306661;0.849936;2.156599;0.791786;0.710515;3.709708;
0;2147483647;37503000;1875150;20;1145.232993;9;0.000000;0.000364;3.805062;o;0.020118;0.031471;1.420907;0.800206;2.221114;0.839592;0.689089;3.804685;
0;2147483647;41670000;2083500;20;1030.709694;10;0.000000;0.000441;3.927329;o;0.020731;0.031506;1.532228;0.810148;2.342377;0.819472;0.709506;3.926874;
0;2147483647;45837000;2291850;20;937.008813;11;0.000000;0.000586;4.071992;o;0.033131;0.031461;1.676717;0.817387;2.494105;0.809643;0.699729;4.071393;
0;2147483647;50004000;2500200;20;858.924745;12;0.000000;0.001451;4.873245;o;0.044459;0.066259;2.343665;0.866884;3.210574;0.865267;0.679521;4.871781;
0;2147483647;4167000;208350;20;10307.096938;1;0.000000;0.000152;1.510349;o;0.001621;0.031350;0.206679;0.388036;0.594716;0.489544;0.392926;1.510183;
0;2147483647;8334000;416700;20;5153.548469;2;0.000000;0.000246;1.850223;o;0.003506;0.031291;0.453751;0.389924;0.843677;0.545785;0.425621;1.849964;
0;2147483647;12501000;625050;20;3435.698979;3;0.000000;0.000209;2.045050;o;0.004810;0.031613;0.618438;0.401782;1.020225;0.556956;0.431135;2.044828;
0;2147483647;16668000;833400;20;2576.774234;4;0.000000;0.000300;2.127998;o;0.006928;0.031740;0.690876;0.389919;1.080796;0.563827;0.444300;2.127684;
