loops; msg_size; time;
1000; 1; 0.000581;
1500; 1; 0.000855;
10000; 1; 0.005968;
15000; 1; 0.008994;
100000; 1; 0.057076;
1000; 101; 0.000800;
1500; 101; 0.001171;
10000; 101; 0.007929;
15000; 101; 0.011626;
100000; 101; 0.075298;
1000; 201; 0.000929;
1500; 201; 0.001368;
10000; 201; 0.008676;
15000; 201; 0.013462;
100000; 201; 0.085530;
1000; 301; 0.000971;
1500; 301; 0.001390;
10000; 301; 0.008950;
15000; 301; 0.013568;
100000; 301; 0.095011;
1000; 401; 0.001065;
1500; 401; 0.001372;
10000; 401; 0.009509;
15000; 401; 0.014144;
100000; 401; 0.094741;
1000; 501; 0.001051;
1500; 501; 0.001501;
10000; 501; 0.009770;
15000; 501; 0.015594;
100000; 501; 0.098406;
1000; 601; 0.001031;
1500; 601; 0.001534;
10000; 601; 0.010425;
15000; 601; 0.014821;
100000; 601; 0.099788;
1000; 701; 0.001059;
1500; 701; 0.001551;
10000; 701; 0.010555;
15000; 701; 0.015821;
100000; 701; 0.104960;
1000; 801; 0.001079;
1500; 801; 0.001691;
10000; 801; 0.010597;
15000; 801; 0.016089;
100000; 801; 0.106637;
1000; 901; 0.001137;
1500; 901; 0.001758;
10000; 901; 0.011522;
15000; 901; 0.016794;
100000; 901; 0.110482;
1000; 1001; 0.001196;
1500; 1001; 0.001756;
10000; 1001; 0.011403;
15000; 1001; 0.017760;
100000; 1001; 0.119767;
1000; 1101; 0.001228;
1500; 1101; 0.001809;
10000; 1101; 0.011043;
15000; 1101; 0.017237;
100000; 1101; 0.115154;
1000; 1201; 0.001214;
1500; 1201; 0.001831;
10000; 1201; 0.012146;
15000; 1201; 0.017195;
100000; 1201; 0.116877;
1000; 1301; 0.001284;
1500; 1301; 0.001877;
10000; 1301; 0.012201;
15000; 1301; 0.018091;
100000; 1301; 0.125817;
1000; 1401; 0.001312;
1500; 1401; 0.001876;
10000; 1401; 0.012349;
15000; 1401; 0.018143;
100000; 1401; 0.129520;
1000; 1501; 0.001320;
1500; 1501; 0.002000;
10000; 1501; 0.013190;
15000; 1501; 0.019541;
100000; 1501; 0.130013;
1000; 1601; 0.001497;
1500; 1601; 0.002047;
10000; 1601; 0.013660;
15000; 1601; 0.019711;
100000; 1601; 0.135194;
1000; 1701; 0.001366;
1500; 1701; 0.002141;
10000; 1701; 0.014003;
15000; 1701; 0.020605;
100000; 1701; 0.136861;
1000; 1801; 0.001433;
1500; 1801; 0.002152;
10000; 1801; 0.014589;
15000; 1801; 0.020979;
100000; 1801; 0.140987;
1000; 1901; 0.001486;
1500; 1901; 0.002147;
10000; 1901; 0.014962;
15000; 1901; 0.021369;
100000; 1901; 0.142533;
1000; 2001; 0.001507;
1500; 2001; 0.002345;
10000; 2001; 0.014456;
15000; 2001; 0.022471;
100000; 2001; 0.148415;
1000; 2101; 0.001655;
1500; 2101; 0.002460;
10000; 2101; 0.016165;
15000; 2101; 0.023731;
100000; 2101; 0.160064;
1000; 2201; 0.001585;
1500; 2201; 0.002372;
10000; 2201; 0.015278;
15000; 2201; 0.023916;
100000; 2201; 0.163158;
1000; 2301; 0.001631;
1500; 2301; 0.002780;
10000; 2301; 0.016272;
15000; 2301; 0.024230;
100000; 2301; 0.156714;
1000; 2401; 0.001646;
1500; 2401; 0.002456;
10000; 2401; 0.016469;
15000; 2401; 0.023873;
100000; 2401; 0.165254;
1000; 2501; 0.001639;
1500; 2501; 0.002541;
10000; 2501; 0.016782;
15000; 2501; 0.025808;
100000; 2501; 0.165484;
1000; 2601; 0.001755;
1500; 2601; 0.002653;
10000; 2601; 0.017379;
15000; 2601; 0.025812;
100000; 2601; 0.170902;
1000; 2701; 0.001817;
1500; 2701; 0.002681;
10000; 2701; 0.017766;
15000; 2701; 0.026061;
100000; 2701; 0.171464;
1000; 2801; 0.001798;
1500; 2801; 0.002817;
10000; 2801; 0.018359;
15000; 2801; 0.026963;
100000; 2801; 0.176536;
1000; 2901; 0.001815;
1500; 2901; 0.002775;
10000; 2901; 0.018201;
15000; 2901; 0.026266;
100000; 2901; 0.176051;
