a;a;a;
10000; 1; 3.422945;
10000; 1; 1.779112;
10000; 1; 1.779323;
10000; 1; 1.608172;
10000; 1; 1.430496;
10000; 1; 1.491166;
10000; 1; 1.507476;
10000; 1; 1.426680;
10000; 1; 1.496734;
10000; 1; 1.393662;
10000; 1; 1.395493;
10000; 100; 1.497950;
10000; 200; 1.467012;
10000; 300; 1.428051;
10000; 400; 1.494277;
10000; 500; 2.660484;
10000; 600; 2.558505;
10000; 700; 2.866567;
10000; 800; 2.412495;
10000; 900; 1.744342;
10000; 1000; 1.705214;
10000; 1100; 3.148764;
10000; 1200; 3.415107;
10000; 1300; 3.138085;
10000; 1400; 2.848313;
10000; 1500; 3.137899;
10000; 1600; 3.374397;
10000; 1700; 3.373527;
10000; 1800; 3.375039;
10000; 1900; 2.336243;
10000; 2000; 2.817661;
10000; 2100; 3.643132;
10000; 2200; 4.740921;
10000; 2300; 5.668731;
10000; 2400; 2.250355;
10000; 2500; 5.368349;
10000; 2600; 5.336415;
10000; 2700; 5.185898;
10000; 2800; 2.993836;
10000; 2900; 3.386088;
10000; 3000; 3.448231;
