a;a;a;a;a;a;a;a;
1;100000000;100000000;78539152;1648100466.941298;1648100469.098022;1648100469.098063;3.141566;
2;100000000;50000000;39266971;1648100469.733207;1648100470.812040;1648100470.812112;3.141596;
3;100000000;33333334;26183344;1648100471.544211;1648100472.262911;1648100472.299170;3.141671;
4;100000000;25000000;19634156;1648100473.064303;1648100473.603624;1648100473.621290;3.141564;
5;100000000;20000000;15707269;1648100474.462031;1648100474.893406;1648100474.894487;3.141546;
6;100000000;16666670;13087427;1648100475.714823;1648100476.074694;1648100476.075816;3.141533;
7;100000000;14285716;11219719;1648100476.994090;1648100477.302175;1648100477.313591;3.141631;
8;100000000;12500000;9819149;1648100478.289770;1648100478.559504;1648100478.560330;3.141596;
9;100000000;11111112;8726209;1648100479.511883;1648100479.751536;1648100479.751923;3.141604;
10;100000000;10000000;7854967;1648100480.855757;1648100481.071475;1648100481.076488;3.141590;
11;100000000;9090910;7140410;1648100482.133089;1648100482.329343;1648100482.332933;3.141470;
12;100000000;8333337;6547658;1648100483.447499;1648100483.627364;1648100483.627875;3.141698;
