a;a;a;a;a;a;a;a;
1;4000000;4000000;3140955;0.000000;0.131471;0.131514;3.140955;
2;4000000;2000000;1571008;0.000000;0.066897;0.076682;3.142923;
3;4000000;1333334;1047509;0.000000;0.047515;0.047563;3.141934;
4;4000000;1000000;785119;0.000000;0.036918;0.037479;3.140955;
5;4000000;800000;628145;0.000000;0.030029;0.030246;3.141670;
6;4000000;666670;523918;0.000000;0.025062;0.028541;3.142340;
7;4000000;571432;448820;0.000000;0.021319;0.050286;3.141518;
8;4000000;500000;392905;0.000000;0.018677;0.019909;3.142068;
9;4000000;444448;349084;0.000000;0.016585;0.018189;3.141211;
10;4000000;400000;314214;0.000000;0.014940;0.016991;3.141849;
11;4000000;363640;285254;0.000000;0.013816;0.013863;3.139939;
12;4000000;333337;261749;0.000000;0.012443;0.013409;3.140343;
1;300000000;300000000;235614577;0.000000;9.911725;9.911818;3.141528;
2;300000000;150000000;117803263;0.000000;5.043576;5.043923;3.141492;
3;300000000;100000000;78533305;0.000000;3.533561;3.535470;3.141581;
4;300000000;75000000;58903592;0.000000;2.747144;3.119589;3.141676;
5;300000000;60000000;47124894;0.000000;2.243541;2.264074;3.141645;
6;300000000;50000000;39268043;0.000000;1.869757;1.874983;3.141512;
7;300000000;42857148;33657246;0.000000;1.602265;1.603235;3.141641;
8;300000000;37500000;29450937;0.000000;1.402738;1.402979;3.141739;
9;300000000;33333336;26181297;0.000000;1.246112;1.248487;3.141848;
10;300000000;30000000;23567926;0.000000;1.121659;1.460251;3.141728;
11;300000000;27272730;21423374;0.000000;1.019641;1.019992;3.141743;
12;300000000;25000000;19636072;0.000000;0.934046;0.938528;3.141814;
1;5000000000;5000000000;3926977099;0.000000;164.787071;164.787172;3.141582;
2;5000000000;2500000000;1963516219;0.000000;83.987311;83.987622;3.141594;
4;5000000000;1250000000;981779448;0.000000;45.807001;45.814054;3.141624;
5;5000000000;1000000000;785395646;0.000000;37.360746;37.415370;3.141567;
6;5000000000;833333335;654499841;0.000000;31.130643;31.142623;3.141597;
7;5000000000;714285716;561003872;0.000000;26.682512;26.740046;3.141610;
8;5000000000;625000000;490880383;0.000000;23.347331;23.372050;3.141607;
9;5000000000;555555560;436341583;0.000000;20.747710;20.777863;3.141591;
10;5000000000;500000000;392693146;0.000000;18.690880;18.707782;3.141605;
11;5000000000;454545460;357001778;0.000000;16.986602;17.023484;3.141643;
12;5000000000;416666674;327255521;0.000000;15.605560;15.624925;3.141618;
